"DataType","1","2","3","4","5","6","7","8","9","10","11","12","13"
"Leaf Number","9","10","12","11","8","7","13","2","1","3","5","4","6"
"Change in Leaf Number","6","8","1","9","4","11","7","3","2","12","5","10",NA
"Change in Shoot Length","10","6","1","7","12","2","3","8","9","11","5","4",NA
"Shoot Length","2","3","4","1","11","13","8","12","7","9","10","5","6"
"gsw - Ave.","8","6","7","13","2","1","5","3","12","11","9","4","10"
"gsw - Indiv.","6","8","7","13","2","1","11","5","12","3","9","4","10"
"VPDLeaf - Ave.","9","10","5","3","4","6","13","12","8","2","1","11","7"
"VPDLeaf - Indiv.","9","5","10","3","4","6","13","1","12","8","2","11","7"
"ETR - Ave.","3","11","2","9","6","8","1","7","12","13","10","5","4"
"ETR - Indiv.","3","11","6","2","9","8","1","7","12","13","10","5","4"
"PhiPS2 - Ave.","2","11","1","7","6","8","4","12","10","9","13","5","3"
"PhiPS2 - Indiv.","2","11","6","7","1","8","12","4","10","9","13","5","3"
