"Week,Control,StimBue+"
"1,69,65.7"
"1,73.1,71.8"
"1,56.8,85.4"
"1,142.7,"
"2,85.4,72.8"
"2,79.1,85"
"2,64.6,101.8"
"2,154.2,"
"3,146.9,97.9"
"3,91.9,126.3"
"3,119.3,172.6"
"3,232.2,"
"4,202,121"
"4,104,149"
"4,167,241"
"4,319,"
"5,278,162"
"5,110,170"
"5,272,274"
"5,446,"
"6,294,181"
"6,121,172"
"6,286,268"
"6,490,"
"7,310,235"
"7,141,182"
"7,295,307"
"7,515,"
"8,338,245"
"8,155,199"
"8,312,340"
"8,520,"
"9,363,244"
"9,162,204"
"9,325,359"
"9,524,"
"10,364,240"
"10,165,206"
"10,330,370"
"10,560,"
"11,354,249"
"11,167,209"
"11,327,383"
"11,554,"
"12,340,244"
"12,173,210"
"12,330,371"
"12,560,"
"13,332,244"
"13,173,203"
"13,329,379"
"13,564,"

