Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,16.4,7.1,2.1,3.4
1,,13.2,19.3,22.8
1,7.8,16.4,4.4,10.8
1,11.5,,28.1,7.9
2,61.5,25.1,-3.9,0.9
2,,41.3,21.6,31.4
2,54.7,70.8,4,8.7
2,78,,29.5,6
3,55.1,23.1,0.7,16.4
3,,22.7,-0.2,26.3
3,47.7,68.4,11.1,4.2
3,86.8,,-4.2,-4.7
4,76,41,-21,-30
4,,21,-92,18
4,105,33,-25,-15
4,127,,-47,-27
5,16,19,-33,-60
5,,2,-46,-90
5,14,-6,0,-75
5,44,,-55,25
6,16,54,0,170
6,,10,0,-5
6,9,39,-72,0
6,25,,-57,-138
7,28,10,69,4
7,,17,0,-39
7,17,33,0,0
7,5,,0,58
8,25,-1,-1,3
8,,5,0,-48
8,13,19,0,0
8,4,,0,-58
9,1,-4,-68,2
9,,2,0,0
9,5,11,0,0
9,36,,0,0
10,-10,9,0,-179
10,,3,0,0
10,-3,13,0,0
10,-6,,0,0
11,-14,-5,0,0
11,,1,0,0
11,3,-12,0,0
11,6,,0,0
12,-8,0,0,0
12,0,-7,0,0
12,-1,8,0,0
12,4,,0,0
,,,,
