"Week,Control,StimBue+"
"1,16.4,7.1"
"1,6,13.2"
"1,7.8,16.4"
"1,11.5,"
"2,61.5,25.1"
"2,12.8,41.3"
"2,54.7,70.8"
"2,78,"
"3,55.1,23.1"
"3,12.1,22.7"
"3,47.7,68.4"
"3,86.8,"
"4,76,41"
"4,6,21"
"4,105,33"
"4,127,"
"5,16,19"
"5,11,2"
"5,14,-6"
"5,44,"
"6,16,54"
"6,20,10"
"6,9,39"
"6,25,"
"7,28,10"
"7,14,17"
"7,17,33"
"7,5,"
"8,25,-1"
"8,7,5"
"8,13,19"
"8,4,"
"9,1,-4"
"9,3,2"
"9,5,11"
"9,36,"
"10,-10,9"
"10,2,3"
"10,-3,13"
"10,-6,"
"11,-14,-5"
"11,6,1"
"11,3,-12"
"11,6,"
"12,-8,0"
"12,0,-7"
"12,-1,8"
"12,4,"

