Week,Control,StimBlue+
1,217.0086138,253.1652012
1,157.8805956,160.1450538
1,130.696132,197.3045242
1,157.3530186,151.476105
2,172.1229303,187.0420127
2,103.5536067,159.3006007
2,173.6979193,166.7525077
2,104.090406,189.5341287
3,161.621394,226.457199
3,99.00182867,191.410955
3,102.0035097,150.7333833
3,131.8906987,152.9316507
4,165.7363233,232.2417753
4,171.7352373,161.233177
4,212.397044,57.500844
4,213.7839863,107.3970757
5,135.4122723,163.7544507
5,89.955953,104.598699
5,131.785548,
5,147.9131547,43.404249
6,42.42631767,149.5315247
6,53.58553433,55.613271
6,83.92008967,66.982266
6,85.62030533,140.0157063
7,41.10241967,125.8584937
7,117.7478857,69.075479
7,106.7118683,76.197047
7,70.391888,142.275172
8,26.22228367,39.361139
8,41.27222533,55.14524067
8,68.91944367,43.636579
8,55.59803167,150.9355217
9,153.555303,132.877528
9,78.28352467,164.9234773
9,174.7991133,171.9150417
9,122.6967443,208.2724203
10,146.876999,215.3755417
10,190.143041,176.4615837
10,228.1439157,177.341685
10,48.36607367,37.17978167
11,61.28943367,77.70813233
11,48.85013425,57.282988
11,73.669788,95.85364267
11,51.181215,100.4025727
12,80.592584,89.18494633
12,96.863355,57.53338733
12,121.960752,131.532987
12,90.738177,150.9240013
13,53.21035267,72.86681633
13,70.577873,68.90882867
13,111.1895627,107.7060447
13,74.61742,72.40269967
