Week,Control,StimBlue+
1,0.374681,0.304035
1,0.393912,0.534358
1,0.27446,0.351739
1,0.245678,0.316758
1,0.273391,0.574232
1,0.333438,0.555863
1,0.556926,0.642781
1,0.513921,0.643088
2,0.283704,0.356107
2,0.283148,0.282188
2,0.294531,0.39024
2,0.113146,0.226838
2,0.369285,0.439855
2,0.183282,0.380503
2,0.159401,0.627583
2,0.347256,0.555123
2,0.481962,0.527661
2,0.174074,0.610292
2,0.194469,0.594719
2,0.175555,0.611297
3,0.265412,0.343862
3,0.282035,0.46234
3,0.241567,0.310481
3,0.613165,0.256705
3,0.659495,0.399839
3,0.580431,0.342784
3,0.589321,0.375121
3,0.634608,0.414738
3,0.616351,0.383007
3,0.433784,0.588853
3,0.412504,0.406251
3,0.589659,0.455051
4,0.260703,0.553862
4,0.302179,0.476091
4,0.216621,0.420627
4,0.54871,0.466823
4,0.156727,0.240823
4,0.248359,0.424649
4,0.2855,0.290306
4,0.665252,0.230213
4,0.591252,0.505266
4,0.623758,0.295974
4,0.315994,0.692617
4,0.248154,0.662303
4,0.583999,0.663384
5,0.20097,0.241583
5,0.231836,0.334857
5,0.333894,0.269129
5,0.183222,0.169105
5,0.073439,0.223841
5,0.137439,0.093985
5,0.218812,
5,0.303849,
5,0.217038,
5,0.170594,0.043904
5,0.342553,0.096062
5,0.222304,0.09488
6,0.052465,0.315105
6,0.131972,0.326658
6,0.100356,0.343504
6,0.162153,0.100284
6,0.06218,0.090981
6,0.060771,0.136188
6,0.171539,0.234375
6,0.167397,0.039674
6,0.139328,0.087078
6,0.216945,0.504753
6,0.195452,0.634822
6,0.317166,0.640751
7,0.083318,0.12215
7,0.078936,0.396679
7,0.07343,0.169271
7,0.330414,0.10117
7,0.120079,0.194575
7,0.240769,0.395606
7,0.193515,0.258149
7,0.294934,0.145952
7,0.253914,0.079713
7,0.130294,0.532355
7,0.132015,0.654573
7,0.119214,0.54486
8,0.049476,0.068736
8,0.037578,0.121151
8,0.043945,0.079568
8,0.120687,0.170963
8,0.045539,0.130423
8,0.05268,0.123813
8,0.49012,0.073491
8,0.072631,0.111556
8,0.069869,0.084308
8,0.040269,0.628249
8,0.119112,0.466088
8,0.088728,0.653355
9,0.302568,0.151437
9,0.324727,0.172195
9,0.276412,0.347749
9,0.670746,0.291908
9,0.308049,0.275213
9,0.672797,0.261757
9,0.403537,0.271992
9,0.318947,0.501146
9,0.230453,0.421674
9,0.12356,0.427585
9,0.305164,0.326167
9,0.152453,0.598085
10,0.324986,0.275766
10,0.310329,0.540576
10,0.31585,0.420209
10,0.414451,0.327209
10,0.384874,0.545312
10,0.431525,0.26935
10,0.428372,0.329576
10,0.675136,0.324214
10,0.325527,0.40775
10,0.624861,0.735805
10,0.629641,0.740501
10,0.671428,0.725062
11,0.147371,0.173144
11,0.095382,0.227512
11,0.095588,0.12588
11,0.127464,0.118166
11,0.058011,0.146138
11,0.062887,0.092876
11,0.098125,0.153447
11,0.127056,0.19276
11,0.110852,0.198165
11,0.275945,0.430118
11,0.053058,0.440478
11,0.085676,0.373283
11,0.115206,0.147256
12,0.230079,0.173353
12,0.24609,0.268864
12,0.104829,0.102204
12,0.298472,0.166336
12,0.23611,0.15262
12,0.181662,0.284385
12,0.399008,0.333675
12,0.312215,0.292035
12,0.405228,0.456267
12,0.276037,0.649543
12,0.086577,0.676477
12,0.160757,0.557016
13,0.714882,0.68923
13,0.58592,0.632654
13,0.682558,0.542859
13,0.460681,0.683716
13,0.525564,0.595561
13,0.682914,0.674298
13,0.672193,0.592129
13,0.619101,0.694064
13,0.645291,0.662221
13,0.740863,0.646142
13,0.701796,0.525287
13,0.681394,
