Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,17,37,24,23
1,,37,31,14
1,24,23,27,26
1,38,,20,15
2,27,18,-3,-4
2,,8,1,12
2,19,14,-5,1
2,5,,5,1
3,9,6,-16,-28
3,,11,-11,1
3,-4,10,-19,-1
3,11,,-4,-17
4,20,22,-25,-3
4,,14,-54,-37
4,33,-2,-18,-80
4,24,,-50,-20
5,-7,18,-26,-4
5,,-27,-5,-12
5,-9,-2,-21,0
5,14,,-2,-7
6,6,39,0,-2
6,,19,0,-2
6,-9,18,0,0
6,7,,0,-3
7,70,7,7,-4
7,,33,0,-3
7,39,41,0,0
7,0,,0,-2
8,29,8,-2,9
8,,47,0,0
8,22,35,0,0
8,4,,0,0
9,18,3,-5,-7
9,,15,0,0
9,24,23,0,0
9,20,,0,0
10,17,12,0,-15
10,,7,0,0
10,9,14,0,0
10,24,,0,0
11,-35,-4,0,0
11,,-6,0,0
11,-4,-12,0,0
11,-6,,0,0
12,36,38,0,0
12,16,-6,0,0
12,23,21,0,0
12,26,,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
