Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,0.3842965,0.4191965,0.15761,0.274291
1,,0.3342485,0.388882,0.282263
1,0.3034145,0.5650475,0.3479195,0.393105
1,0.5354235,0.6429345,0.472896,0.6493165
2,0.287127667,0.342845,0.231566333,0.307204
2,,0.349065333,0.341021333,0.533849333
2,0.329539667,0.570122333,0.321475333,0.658187333
2,0.181366,0.605436,0.482605667,0.410771667
3,0.263004667,0.372227667,0.200542333,0.181397333
3,,0.333109333,0.304133333,0.440144667
3,0.613426667,0.390955333,0.504545,0.500043667
3,0.478649,0.483385,0.366344667,0.184883333
4,0.259834333,0.483526667,0.071728,0.083804833
4,,0.377431667,0.11951175,0.191855
4,0.626754,0.33043975,0.114144667,0.356173571
4,0.382715667,0.672768,0.191724333,0.159209
5,0.255566667,0.281856333,0.018139333,0.055484
5,,0.162310333,0.016297,0.080107
5,0.246566333,,0.031357333,
5,0.245150333,0.078282,0.042272,0.045637333
6,0.094931,0.328422333,0.121949333,0.094866
6,,0.109151,0.067733,0.205076667
6,0.159421333,0.120375667,0.107702333,0.183159333
6,0.243187667,0.593442,0.103855667,0.282503333
7,0.078561333,0.229366667,0.307263,0.06967625
7,,0.230450333,0.087634667,0.24740375
7,0.247454333,0.161271333,0.191569667,0.381294667
7,0.127174333,0.577262667,0.081390333,0.188321667
8,0.043666333,0.089818333,0.118226667,0.098287667
8,,0.141733,0.105522333,0.271037
8,0.210873333,0.089785,0.36981875,0.221795
8,0.082703,0.582564,0.290954667,0.235078333
9,0.301235667,0.223793667,0.169072333,0.221072667
9,,0.276292667,0.145407333,0.364934667
9,0.317645667,0.398270667,0.233757,0.245114
9,0.193725667,0.450612333,0.404583333,0.301058667
10,0.317055,0.412183667,0.553466667,0.193773
10,,0.380623667,0.370571333,0.590419667
10,0.476345,0.353846667,0.4414045,0.540987
10,0.641976667,0.733789333,,0.616739667
11,0.112780333,0.175512,0.516437333,0.454634
11,,0.11906,0.377493667,0.510881667
11,0.171284333,0.181457333,0.342658333,0.397234333
11,0.084646667,0.414626333,0.507770667,0.125327333
12,0.193666,0.196491,0.546227333,0.441895333
12,,0.140386667,0.391808333,0.345807667
12,0.372150333,0.303365,0.395446667,0.448056667
12,0.174457,0.594095667,0.557925333,0.202522
13,0.66112,0.6263,0.690856333,0.7009396
13,0.556386333,0.607378667,0.652514333,0.710658
13,0.645528333,0.653497,0.657205667,0.68164375
13,0.708017667,0.611216667,0.679797667,0.608327
,,,,
