Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,35,49,46,35
1,69,61,38,27
1,40,38,36,54
1,32,,31,33
2,52,86,70,58
2,108,98,69,41
2,64,61,63,80
2,70,,51,48
3,79,104,67,54
3,118,106,70,53
3,83,75,58,81
3,75,,56,49
4,88,110,51,26
4,143,117,59,54
4,79,85,39,80
4,86,,52,32
5,108,132,26,23
5,108,131,5,17
5,112,83,21,0
5,110,,2,12
6,101,150,0,19
6,135,104,0,5
6,103,81,0,0
6,124,,0,5
7,107,189,0,17
7,135,123,0,3
7,94,99,0,0
7,131,,0,2
8,177,196,7,13
8,140,156,0,0
8,133,140,0,0
8,131,,0,0
9,206,204,5,22
9,164,203,0,0
9,155,175,0,0
9,135,,0,0
10,224,207,0,15
10,154,218,0,0
10,179,198,0,0
10,155,,0,0
11,241,219,0,0
11,194,225,0,0
11,188,212,0,0
11,179,,0,0
12,206,215,0,0
12,213,219,0,0
12,184,200,0,0
12,173,,0,0
13,242,253,0,0
13,229,213,0,0
13,207,221,0,0
13,199,,0,0
,,,,
,,,,
