Week,Control (T1),StimBue+ (T2),StimBlue+ + NaCl (T3),NaCl (T4)
1,69,65.7,55.1,69.3
1,73.1,71.8,97.3,83.5
1,56.8,85.4,77.5,66.3
1,142.7,,105.6,130.8
2,85.4,72.8,57.2,72.7
2,79.1,85,116.6,106.3
2,64.6,101.8,81.9,77.1
2,154.2,,133.7,138.7
3,146.9,97.9,53.3,73.6
3,91.9,126.3,138.2,137.7
3,119.3,172.6,85.9,85.8
3,232.2,,163.2,144.7
4,202,121,54,90
4,104,149,138,164
4,167,241,97,90
4,319,,159,140
5,278,162,33,60
5,110,170,46,182
5,272,274,72,75
5,446,,112,113
6,294,181,0,0
6,121,172,0,92
6,286,268,72,0
6,490,,57,138
7,310,235,0,170
7,141,182,0,87
7,295,307,0,0
7,515,,0,0
8,338,245,69,174
8,155,199,0,48
8,312,340,0,0
8,520,,0,58
9,363,244,68,177
9,162,204,0,0
9,325,359,0,0
9,524,,0,0
10,364,240,0,179
10,165,206,0,0
10,330,370,0,0
10,560,,0,0
11,354,249,0,0
11,167,209,0,0
11,327,383,0,0
11,554,,0,0
12,340,244,0,0
12,173,210,0,0
12,330,371,0,0
12,560,,0,0
13,332,244,0,0
13,173,203,0,0
13,329,379,0,0
13,564,,0,0
