Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,0.3842965,0.4191965,0.15761,0.274291
1,0.260069,0.3342485,0.388882,0.282263
1,0.3034145,0.5650475,0.3479195,0.393105
1,0.5354235,0.6429345,0.472896,0.6493165
2,0.287127667,0.342845,0.231566333,0.307204
2,0.221904333,0.349065333,0.341021333,0.533849333
2,0.329539667,0.570122333,0.321475333,0.658187333
2,0.181366,0.605436,0.482605667,0.410771667
3,0.263004667,0.372227667,0.200542333,0.181397333
3,0.617697,0.333109333,0.304133333,0.440144667
3,0.613426667,0.390955333,0.504545,0.500043667
3,0.478649,0.483385,0.366344667,0.184883333
4,0.259834333,0.483526667,0.071728,0.083804833
4,0.309824,0.377431667,0.11951175,0.191855
4,0.626754,0.33043975,0.114144667,0.356173571
4,0.382715667,0.672768,0.191724333,0.159209
5,0.255566667,0.281856333,0.018139333,0.055484
5,0.131366667,0.162310333,0.016297,0.080107
5,0.246566333,,0.031357333,
5,0.245150333,0.078282,0.042272,0.045637333
6,0.094931,0.328422333,,0.094866
6,0.095034667,0.109151,,
6,0.159421333,0.120375667,0.107702333,
6,0.243187667,0.593442,,0.282503333
7,0.078561333,0.229366667,,0.06967625
7,0.230420667,0.230450333,,
7,0.247454333,0.161271333,,
7,0.127174333,0.577262667,,
8,0.043666333,0.089818333,0.118226667,0.098287667
8,0.072968667,0.141733,,
8,0.210873333,0.089785,,
8,0.082703,0.582564,,
9,0.301235667,0.223793667,0.169072333,0.221072667
9,0.550530667,0.276292667,,
9,0.317645667,0.398270667,,
9,0.193725667,0.450612333,,
10,0.317055,0.412183667,,0.193773
10,0.410283333,0.380623667,,
10,0.476345,0.353846667,,
10,0.641976667,0.733789333,,
11,0.112780333,0.175512,,
11,0.08662175,0.11906,,
11,0.171284333,0.181457333,,
11,0.084646667,0.414626333,,
12,0.193666,0.196491,,
12,0.238748,0.140386667,,
12,0.372150333,0.303365,,
12,0.174457,0.594095667,,
13,0.66112,0.6263,,
13,0.556386333,0.607378667,,
13,0.645528333,0.653497,,
13,0.708017667,0.611216667,,
