Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,0.11537505,0.073812939,0.017612414,0.041176254
1,0.026204535,0.030442963,0.026875423,0.033837338
1,0.031020223,0.035672039,0.066565379,0.062410271
1,0.047987141,0.03039486,0.066949481,0.081741723
2,0.073692667,0.042589333,0.028095801,0.018748076
2,0.042321333,0.038858,0.035812457,0.057078668
2,0.064994667,0.026436,0.034731145,0.068001338
2,0.028812333,0.074906333,0.070381808,0.025696329
3,0.123065667,0.127538667,0.005078,0.001330667
3,0.076651333,0.078370667,0.006979333,0.072657667
3,0.138840333,0.026890333,-0.001040333,0.034769
3,0.084984333,0.109463333,0.025878,0.007411333
4,0.082202333,0.071189667,-0.001333226,-0.004698155
4,0.08540075,0.048982333,0.002253897,0.004868814
4,0.088691,-0.00234675,-0.002153479,-0.003653045
4,0.035321,0.025182,0.011298441,-0.003026224
5,0.087645333,0.117646,-2.17383E-05,-0.003620806
5,0.074028667,0.061541,-0.007429067,-0.000917186
5,0.163377667,,-0.005269976,
5,0.048364333,0.010075,-0.000238222,-0.005046399
6,0.003007,0.024707,0.00705944,-0.000232461
6,-0.001697667,-0.004868,-0.007864844,0.020707777
6,0.001804,0.013511667,-0.001115787,0.002236217
6,0.013352,0.023749,0.006652082,0.003002659
7,0.000153333,0.006950333,0.017506063,0.001214993
7,0.010471,0.002443333,0.001374474,0.007503321
7,0.0064,0.002868667,0.047638046,0.047198283
7,0.003188,0.014082667,0.000817692,0.010228581
8,0.003404,-0.000736,0.019807609,0.006013758
8,-0.005245,0.006156,0.02616503,0.01437384
8,-0.000228333,0.005719,0.07078621,0.01494859
8,-0.000287667,0.049477,0.043189482,0.020555654
9,0.177843333,0.031050667,0.015850667,0.006538333
9,0.110796,0.035138333,0.014026,0.042168333
9,0.038091333,0.056978333,0.111170667,0.153668
9,0.069729667,0.069930333,0.210202667,0.048201333
10,0.089301,0.046559667,0.130232245,-0.001650007
10,0.077845333,0.034758333,0.123384545,0.127993622
10,0.064933,0.039518333,0.159346655,0.283456114
10,0.081381667,0.066911333,,0.058225503
11,0.003153667,0.001290667,0.200155667,0.07008
11,0.0043715,0.001671333,0.062202333,0.065511333
11,0.000627333,-0.000635667,0.043505667,0.074218667
11,0.007977333,0.005756,0.141014333,0.00256
12,0.006318,0.000730667,0.110390032,0.064374737
12,0.001689,-0.005259333,0.036386529,0.015508472
12,0.005344667,0.004826,0.030463698,0.06907513
12,0.015330333,0.013187333,0.118714505,0.009375664
13,0.022836667,0.023163,0.106883715,0.078481575
13,0.030248333,0.032982,0.05819056,0.059420462
13,0.026714333,0.044005667,0.054032228,0.113732461
13,0.046663667,0.028274,0.088159484,0.033543326
