Week,Control,StimBlue+,StimBlue+ + NaCl,NaCl
1,200.9788884,183.150684,94.2053448,147.27413
1,233.0383392,323.1797184,97.9383328,190.5552396
1,160.394424,164.1917652,353.7261716,153.870766
1,155.3667672,156.0983424,123.2865256,188.411306
1,120.9481784,192.941952,151.0803416,218.230476
1,140.4440856,201.6670964,209.8866,189.833028
1,154.1571168,148.3538548,147.96936,159.8291268
1,160.5489204,154.5983552,227.5964096,146.751568
2,170.866547,200.198502,100.93872,103.7413688
2,166.172791,146.08078,114.8381472,171.1732992
2,179.329453,214.846756,163.8765732,121.122386
2,59.716698,102.138557,245.1779784,230.7842352
2,134.949371,187.851181,168.6497928,180.092098
2,115.994751,187.912064,117.6224072,215.4570264
2,82.470818,196.606415,140.1800816,154.735904
2,193.808884,171.913239,196.2616008,149.0549888
2,244.814056,131.737869,119.448628,172.7659168
2,97.150368,185.381622,238.5497176,139.2569088
2,113.508774,208.167816,216.1455888,135.460368
2,101.612076,175.052948,214.5064728,122.8398768
3,174.709763,220.60144,141.126602,82.536659
3,206.564133,254.875122,142.309723,97.960442
3,103.590286,203.895035,100.473305,118.599777
3,89.424416,140.677109,106.88546,212.910278
3,112.623184,210.822968,83.125359,215.883499
3,94.957886,222.732788,83.854309,224.760742
3,110.018799,163.065659,79.933479,144.295761
3,93.641464,157.752029,86.205948,130.559479
3,102.350266,131.382462,80.097885,139.561981
3,129.930908,127.29425,146.753235,78.834076
3,137.771805,144.668396,168.26712,74.95871
3,127.969383,186.832306,96.653099,54.538147
4,158.325043,213.709991,47.2421248,36.8448472
4,197.512894,242.225784,27.435132,32.622744
4,141.371033,240.789551,35.3389176,45.50044
4,306.074036,183.356308,34.3741268,33.1557928
4,90.367386,101.003761,51.3669552,37.757596
4,129.572479,199.339462,59.692224,53.284094
4,160.927048,75.42485,30.5176776,89.2547676
4,211.934357,42.544312,50.5408968,76.960264
4,202.966202,70.358719,45.5096124,86.8258584
4,222.290573,41.675495,57.1196424,52.3032832
4,185.437225,63.203106,68.5342152,51.877446
4,144.367096,79.156395,67.7641216,70.4478468
4,311.547638,179.831726,109.826972,51.582036
4,,,25.54288,53.2189808
4,,,39.9462308,60.9477744
4,,,77.8328928,55.266176
4,,,89.0403692,57.6962368
4,,,162.4107632,67.710864
4,,,,38.0982352
4,,,,32.4429196
5,100.048615,150.005463,7.224812,20.749618
5,142.368347,194.057526,12.7403496,8.4428072
5,163.819855,147.200363,9.0956712,42.424452
5,126.555923,107.944969,4.4473176,56.3261952
5,52.868378,138.617737,2.2501824,33.90533
5,90.443558,67.233391,20.4802176,26.5706104
5,135.971802,,8.6693984,
5,124.392227,,15.99054,
5,134.992615,,32.087048,
5,112.681412,26.710306,8.675508,40.5857488
5,204.192596,50.527946,35.4502512,8.9442032
5,126.865456,52.974495,15.756156,15.84264
6,28.098743,139.946503,,50.0889688
6,40.752178,153.593109,,71.4491388
6,58.428032,155.054962,,59.257884
6,82.751907,53.78466,,
6,38.687702,40.945023,,
6,39.316994,72.11013,,
6,93.132965,123.739761,15.5721224,
6,94.568741,22.682798,50.1722624,
6,64.058563,54.524239,20.0590448,
6,112.254173,140.702545,,52.61567
6,107.359131,149.397919,,91.6465912
6,37.247612,129.946655,,9.644472
7,42.51553,61.205616,,57.2525184
7,42.304493,218.900436,,27.8370664
7,38.487236,97.469429,,32.9445488
7,161.514008,43.441437,,51.70158
7,58.494923,100.98851,,
7,133.234726,62.79649,,
7,89.77916,98.413475,,
7,123.286804,83.976486,,
7,107.069641,46.20118,,
7,71.076836,138.065262,,
7,82.385277,157.943878,,
7,57.713551,130.816376,,
