"Week,Control,StimBlue+"
"1,35,49"
"1,69,61"
"1,40,38"
"1,32,"
"2,52,86"
"2,108,98"
"2,64,61"
"2,70,"
"3,79,104"
"3,118,106"
"3,83,75"
"3,75,"
"4,88,110"
"4,143,117"
"4,79,85"
"4,86,"
"5,108,132"
"5,108,131"
"5,112,83"
"5,110,"
"6,101,150"
"6,135,104"
"6,103,81"
"6,124,"
"7,107,189"
"7,135,123"
"7,94,99"
"7,131,"
"8,177,196"
"8,140,156"
"8,133,140"
"8,131,"
"9,206,204"
"9,164,203"
"9,155,175"
"9,135,"
"10,224,207"
"10,154,218"
"10,179,198"
"10,155,"
"11,241,219"
"11,194,225"
"11,188,212"
"11,179,"
"12,206,215"
"12,213,219"
"12,184,200"
"12,173,"
"13,242,253"
"13,229,213"
"13,207,221"
"13,199,"


