Week,Control,StimBlue+
1,2.375442987,3.481860996
1,3.821172874,3.607930639
1,3.755760542,3.299052018
1,4.856966356,4.265440839
1,3.664390359,3.069020753
1,4.731384877,3.901849611
1,3.251866649,3.004056577
1,3.985701892,3.770250233
2,3.417209,4.295703
2,4.08615,4.391918
2,3.317946,4.38321
2,5.138193,4.754773
2,4.204103,4.311041
2,4.670711,4.196163
2,4.477802,4.373925
2,4.48562,4.280584
2,4.362583,4.227071
2,5.225075,3.891285
2,5.016532,3.642805
2,5.112572,3.634274
3,2.627982,2.409214
3,2.722577,2.356987
3,2.674116,2.569234
3,1.590236,2.68713
3,1.471402,2.238178
3,1.602362,2.441194
3,1.495449,1.870049
3,1.450517,1.891821
3,1.506082,1.88622
3,1.894988,1.270845
3,1.783843,1.484971
3,1.637714,1.503377
4,2.735175,2.584564
4,2.741708,3.069849
4,2.671648,2.734493
4,2.670026,3.19771
4,4.156904,3.589908
4,3.290313,3.461595
4,3.194843,4.096654
4,3.092391,4.079559
4,3.131169,3.877839
4,3.398,3.88027
4,4.289117,2.918871
4,4.630289,3.407288
4,3.439481,3.179575
5,2.890033,3.264077
5,2.780591,3.023011
5,2.597229,3.082864
5,4.308666,4.28284
5,5.371149,3.489417
5,3.547299,3.865486
5,3.494741,
5,3.688136,
5,3.422904,
5,4.85566,6.037623
5,4.323538,5.893384
5,4.437993,5.860957
6,2.866436,2.429778
6,2.666266,2.972913
6,2.690235,3.0093
6,3.603134,3.388696
6,4.186424,3.72266
6,4.077731,3.826252
6,3.689612,3.991652
6,4.136421,4.948924
6,3.789628,4.698481
6,4.084633,3.853785
6,4.233856,3.574189
6,4.202267,3.616092
7,5.895582,5.652068
7,6.048866,5.451715
7,5.887596,5.796687
7,5.719409,6.025582
7,5.679304,5.844213
7,5.810753,5.721779
7,6.011689,5.80257
7,5.858012,5.950669
7,5.981083,5.974432
7,5.920629,5.296538
7,6.716294,5.184042
7,5.986505,5.272754
8,3.629832,4.226329
8,4.335722,3.808398
8,3.696562,4.493274
8,4.106462,4.576234
8,5.684653,5.284099
8,5.197301,5.527277
8,4.667704,5.812382
8,6.0472,5.279377
8,6.25712,5.911081
8,6.962017,4.387544
8,5.632717,4.52626
8,6.111424,3.664205
9,2.295502,3.504786
9,2.403285,3.703045
9,2.600685,3.224467
9,2.080697,4.170928
9,2.490709,3.298378
9,2.114152,4.350408
9,2.83393,4.428591
9,4.323626,3.752725
9,4.319765,3.799362
9,4.997391,3.789331
9,3.91403,3.326663
9,4.728588,2.775889
10,1.732291,2.410758
10,1.809033,2.191182
10,2.026814,2.207918
10,2.251956,2.624166
10,2.377008,2.372388
10,2.345283,2.689993
10,2.536046,2.910794
10,2.145509,2.81674
10,3.187052,2.853151
10,2.493316,1.995308
10,2.182039,1.918539
10,2.172365,2.072348
11,5.075286,5.17648
11,5.208775,5.201902
11,5.216222,5.220692
11,6.598718,6.140539
11,6.170072,5.692758
11,6.200954,6.892847
11,6.971154,6.152945
11,6.517392,6.201537
11,7.015083,5.862434
11,6.209188,5.275173
11,7.66554,5.464647
11,8.262859,5.599714
11,7.191211,
12,4.183627,4.857804
12,4.045791,4.499483
12,4.595286,3.860224
12,4.805439,5.288931
12,4.204811,4.972994
12,4.820352,5.012674
12,5.01304,4.888375
12,4.627602,4.842346
12,4.927217,4.879681
12,5.092053,4.756133
12,6.885893,4.313388
12,6.037334,4.414596
13,1.623323,1.566454
13,1.583366,1.578681
13,1.699442,1.656721
13,1.637816,1.676531
13,1.659613,1.657377
13,1.697253,1.717157
13,1.9794,1.855456
13,2.013772,1.89225
13,1.94254,1.826495
13,1.614684,1.690629
13,1.637188,1.721642
13,1.639828,1.65845
