Week,Control,StimBlue+
1,3.09830793,3.544895817
1,4.306363449,3.782246429
1,4.197887618,3.485435182
1,3.618784271,3.387153405
2,3.607101667,4.356943667
2,4.671002333,4.420659
2,4.442001667,4.29386
2,5.118059667,3.722788
3,2.674891667,2.445145
3,1.554666667,2.455500667
3,1.484016,1.882696667
3,1.772181667,1.419731
4,2.716177,2.796302
4,3.3280215,3.416404333
4,3.207186667,3.9835805
4,4.119629,3.168578
5,2.755951,3.123317333
5,4.409038,3.879247667
5,3.535260333,
5,4.539063667,5.930654667
6,2.740979,2.803997
6,3.955763,3.645869333
6,3.871887,4.546352333
6,4.173585333,3.681355333
7,5.944014667,5.63349
7,5.736488667,5.863858
7,5.950261333,5.909223667
7,6.207809333,5.251111333
8,3.887372,4.176000333
8,4.996138667,5.129203333
8,5.657341333,5.667613333
8,6.235386,4.192669667
9,2.433157333,3.477432667
9,2.228519333,3.939904667
9,3.825773667,3.993559333
9,4.546669667,3.297294333
10,1.856046,2.269952667
10,2.324749,2.562182333
10,2.622869,2.860228333
10,2.282573333,1.995398333
11,5.166761,5.199691333
11,6.4852245,6.242048
11,6.580554333,6.072305333
11,7.706536667,5.446511333
12,4.274901333,4.405837
12,4.610200667,5.091533
12,4.855953,4.870134
12,6.005093333,4.494705667
13,1.635377,1.600618667
13,1.664894,1.683688333
13,1.978570667,1.858067
13,1.630566667,1.690240333
