Week,Control,StimBlue+
1,0.11537505,0.073812939
1,0.026204535,0.030442963
1,0.031020223,0.035672039
1,0.047987141,0.03039486
2,0.073692667,0.042589333
2,0.042321333,0.038858
2,0.064994667,0.026436
2,0.028812333,0.074906333
3,0.123065667,0.127538667
3,0.076651333,0.078370667
3,0.138840333,0.026890333
3,0.084984333,0.109463333
4,0.082202333,0.071189667
4,0.08540075,0.048982333
4,0.088691,-0.00234675
4,0.035321,0.025182
5,0.087645333,0.117646
5,0.074028667,0.061541
5,0.163377667,
5,0.048364333,0.010075
6,0.003007,0.024707
6,-0.001697667,-0.004868
6,0.001804,0.013511667
6,0.013352,0.023749
7,0.000153333,0.006950333
7,0.010471,0.002443333
7,0.0064,0.002868667
7,0.003188,0.014082667
8,0.003404,-0.000736
8,-0.005245,0.006156
8,-0.000228333,0.005719
8,-0.000287667,0.049477
9,0.177843333,0.031050667
9,0.110796,0.035138333
9,0.038091333,0.056978333
9,0.069729667,0.069930333
10,0.089301,0.046559667
10,0.077845333,0.034758333
10,0.064933,0.039518333
10,0.081381667,0.066911333
11,0.003153667,0.001290667
11,0.0043715,0.001671333
11,0.000627333,-0.000635667
11,0.007977333,0.005756
12,0.006318,0.000730667
12,0.001689,-0.005259333
12,0.005344667,0.004826
12,0.015330333,0.013187333
13,0.022836667,0.023163
13,0.030248333,0.032982
13,0.026714333,0.044005667
13,0.046663667,0.028274
