"final_gene","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vitvi05_01chr00g05690","Vitvi05_01chr00g05690",574.303321186782,8.65325742929988,0.229454097143958,37.7123683429845,0,0
"ZML1","Vitvi05_01chr00g08010",1265.48857827687,10.176894788605,0.129324273481943,78.6928433046711,0,0
"Vitvi05_01chr00g08030","Vitvi05_01chr00g08030",771.270207619212,9.33003460157649,0.100528092854717,92.8102218656459,0,0
"Vitvi05_01chr00g08060","Vitvi05_01chr00g08060",495.345926338294,8.99927278062357,0.141390261311993,63.6484627520823,0,0
"Vitvi05_01chr00g08080","Vitvi05_01chr00g08080",3542.20735214865,11.6031695670369,0.116995877932203,99.1758835619894,0,0
"Vitvi05_01chr00g08110","Vitvi05_01chr00g08110",529.245324718953,9.00140139583806,0.219722964761311,40.9670486906839,0,0
"Vitvi05_01chr01g00120","Vitvi05_01chr01g00120",433.798026821102,8.70912593831187,0.0742376327485406,117.314165550128,0,0
"Vitvi05_01chr01g00130","Vitvi05_01chr01g00130",316.561425304239,8.55363513539338,0.209979769737571,40.7355201221697,0,0
"Vitvi05_01chr01g00160","Vitvi05_01chr01g00160",1272.5010323694,9.9836867115951,0.126495511705435,78.925224911092,0,0
"Vitvi05_01chr01g00390","Vitvi05_01chr01g00390",399.208818568862,8.6107141354166,0.175813362910614,48.9764486206569,0,0
"Vitvi05_01chr01g00440","Vitvi05_01chr01g00440",275.455252248857,8.08578965735931,0.110114786903169,73.4305526511134,0,0
"Vitvi05_01chr01g00450","Vitvi05_01chr01g00450",457.254823176956,8.37400116521562,0.213822350837982,39.163357489979,0,0
"Vitvi05_01chr01g00460","Vitvi05_01chr01g00460",454.962579327459,9.23935222658049,0.0860298121286798,107.397098726203,0,0
"Vitvi05_01chr01g00490","Vitvi05_01chr01g00490",138.272493814748,6.5664941325416,0.149858061720404,43.8180906462874,0,0
"Vitvi05_01chr01g00500","Vitvi05_01chr01g00500",831.429578835978,9.61391253550148,0.0861763261433583,111.56094679075,0,0
"Vitvi05_01chr01g00540","Vitvi05_01chr01g00540",188.135347627865,8.5442572313899,0.122545545655796,69.723115480581,0,0
"Vitvi05_01chr01g00560","Vitvi05_01chr01g00560",202.090288171972,7.490583044712,0.149470835709993,50.1140105969929,0,0
"Vitvi05_01chr01g00590","Vitvi05_01chr01g00590",482.410939547836,9.55014065762508,0.247617626050838,38.5680971501776,0,0
"Vitvi05_01chr01g00600","Vitvi05_01chr01g00600",1211.50023992278,10.2387413194944,0.172948687341629,59.2010351559916,0,0
"Vitvi05_01chr01g00620","Vitvi05_01chr01g00620",235.241542819217,7.72032169357261,0.128626543692174,60.0212170207161,0,0
"Vitvi05_01chr01g00630","Vitvi05_01chr01g00630",2446.924198194,11.1186260378644,0.142970608119745,77.768614011574,0,0
"Vitvi05_01chr01g00640","Vitvi05_01chr01g00640",426.791936084913,8.42960136645355,0.115121251767438,73.22367709728,0,0
