"final_gene","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vitvi05_01chr16g13390","Vitvi05_01chr16g13390",1464.09129777749,-4.19721614182702,0.178679760455404,-23.4901598878884,5.14177553728683e-122,1.48422492659322e-117
"Vitvi05_01chr13g09340","Vitvi05_01chr13g09340",454.907083858651,-3.06419665762467,0.137300033708651,-22.3175229812898,2.49748181272995e-110,3.60461550031314e-106
"Vitvi05_01chr04g10230","Vitvi05_01chr04g10230",754.457833340316,4.11292777869504,0.221688275050965,18.5527528587135,7.74803192463118e-77,7.45515631788012e-73
"Vitvi05_01chr14g25600","Vitvi05_01chr14g25600",530.317507724468,-1.72054468251881,0.0999970204318702,-17.2059594884734,2.39575450850964e-66,1.72889624106598e-62
"Vitvi05_01chr01g06670","Vitvi05_01chr01g06670",630.865964131309,-4.76593791366804,0.279231866674122,-17.0680301300644,2.56716606782705e-65,1.48207631427792e-61
"Vitvi05_01chr03g06360","Vitvi05_01chr03g06360",1147.23136010454,-5.71238629156115,0.336459941574024,-16.9779090635203,1.19674317976992e-64,5.7575314378731e-61
"Vitvi05_01chr18g18720","Vitvi05_01chr18g18720",337.851726941572,7.94972442437507,0.480288115716282,16.5519906994142,1.54895041713567e-61,6.38742896300547e-58
"Vitvi05_01chr06g02330","Vitvi05_01chr06g02330",440.878563818084,4.75986542918481,0.289591313392511,16.4364924259082,1.04812273534542e-60,3.78188885981012e-57
"Vitvi05_01chr01g12700","Vitvi05_01chr01g12700",180.057609471018,-3.1436066688659,0.191476743968367,-16.4176944088063,1.42894081047352e-60,4.58308949279207e-57
"Vitvi05_01chr01g10920","Vitvi05_01chr01g10920",1116.31449400005,-7.45677550407117,0.454511606483904,-16.4061278033287,1.72886168985537e-60,4.99053215393652e-57
"Vitvi05_01chr14g22640","Vitvi05_01chr14g22640",177.498407268375,-4.24400413109466,0.258927602309961,-16.3906979913798,2.22870722640003e-60,5.84853298156938e-57
"Vitvi05_01chr06g09070","Vitvi05_01chr06g09070",3523.8227710647,2.51235999815297,0.153660744281138,16.3500444430775,4.34662873495758e-60,1.04558154219405e-56
"TPS56","Vitvi05_01chr10g05890",231.563397378969,-6.29146095548284,0.392526190336877,-16.0281303779586,8.12919277433411e-58,1.80505598941483e-54
"Vitvi05_01chr19g10490","Vitvi05_01chr19g10490",132.937706837365,-2.34934667579023,0.14684872961203,-15.9984133468307,1.31073101729352e-57,2.70254011037105e-54
"Vitvi05_01chr19g05790","Vitvi05_01chr19g05790",554.137407969466,4.73219063113782,0.297200631098237,15.9225457013704,4.42020414180124e-57,8.50624085048231e-54
"Vitvi05_01chr14g18490","Vitvi05_01chr14g18490",474.03552405162,-6.11201406781845,0.388173635977473,-15.7455671929588,7.36676182669142e-56,1.32905591805797e-52
"Vitvi05_01chr04g00970","Vitvi05_01chr04g00970",353.93730557285,-2.95358231571683,0.189238750864905,-15.6077035079636,6.4517794443761e-55,1.03465036356311e-51
"Vitvi05_01chr12g13500","Vitvi05_01chr12g13500",328.965334706234,2.92810065258115,0.187598908689003,15.6083032307789,6.39142587420093e-55,1.03465036356311e-51
"Vitvi05_01chr09g07030","Vitvi05_01chr09g07030",2024.23270348447,6.12063834120917,0.392293712503587,15.6021831248524,7.03467964507518e-55,1.06875296123548e-51
"Vitvi05_01chr16g22100","Vitvi05_01chr16g22100",714.68973900109,-3.11563529297259,0.20042409689233,-15.5452130820694,1.71451431546971e-54,2.47455851151743e-51
"ERD6-Like6","Vitvi05_01chr14g05250",443.721963221617,-3.49135179993186,0.229216792841044,-15.2316580153576,2.17992334862101e-52,2.9964603514902e-49
"Vitvi05_01chr14g28670","Vitvi05_01chr14g28670",617.091679336832,-2.43817769944723,0.161340384920866,-15.1120111721755,1.34956971696018e-51,1.77075815680784e-48
"Vitvi05_01chr11g07780","Vitvi05_01chr11g07780",247.922842917891,-3.00765309990392,0.201988372262499,-14.8902289087971,3.81461271241083e-50,4.78750480680222e-47
"Vitvi05_01chr07g22830","Vitvi05_01chr07g22830",275.870005135348,-3.61718301011555,0.243415523995546,-14.8601163588142,5.98211972935471e-50,7.19499450448138e-47
"Vitvi05_01chr11g05110","Vitvi05_01chr11g05110",116.051370264348,-4.48014954266647,0.304405658324927,-14.7176946950319,4.96292195812958e-49,5.73038820973474e-46
"Vitvi05_01chr08g13330","Vitvi05_01chr08g13330",515.95639082052,-4.0034280832635,0.274346528994232,-14.5925960789089,3.13054305968188e-48,3.47562522926066e-45
"Vitvi05_01chr04g09820","Vitvi05_01chr04g09820",165.66049377404,3.85106337588773,0.268764783472991,14.3287499430696,1.44701783676624e-46,1.54702284726276e-43
"Vitvi05_01chr17g00240","Vitvi05_01chr17g00240",527.343435567073,-3.44991546127187,0.242650711771959,-14.2176193759286,7.12352908392253e-46,7.34384966201813e-43
"Vitvi05_01chr19g09350","Vitvi05_01chr19g09350",433.971013153636,-4.12400617391878,0.290439757682356,-14.1991792267953,9.26916728775955e-46,9.22633734236094e-43
"Vitvi05_01chr03g01700","Vitvi05_01chr03g01700",7837.08758218284,-6.94434345066819,0.490035800930069,-14.1710941067736,1.38328403928892e-45,1.3309959026038e-42
"Vitvi05_01chr07g26130","Vitvi05_01chr07g26130",536.153765983381,-2.32079381761986,0.163991561620734,-14.1519099805098,1.81752909210059e-45,1.69241273459921e-42
"Vitvi05_01chr14g20680","Vitvi05_01chr14g20680",241.542474818974,-2.43570699169893,0.172400781851715,-14.1281667376308,2.54688504360167e-45,2.29744948964393e-42
"Vitvi05_01chr05g09140","Vitvi05_01chr05g09140",4721.91513835664,-1.8841200694756,0.134059272708815,-14.0543808078687,7.24124848109142e-45,6.33411753500561e-42
"BAS1","Vitvi05_01chr11g05900",95.2754936744563,-5.65565054634351,0.403091585937476,-14.0306837047717,1.01171478903957e-44,8.58945855894594e-42
"Vitvi05_01chr06g10450","Vitvi05_01chr06g10450",1021.27133001472,4.10073467297356,0.293660608275796,13.9641972992247,2.57793533402129e-44,2.12613375291024e-41
"Vitvi05_01chr14g19340","Vitvi05_01chr14g19340",393.933694786612,-2.54114793657864,0.182926052322098,-13.891667722125,7.11589505149117e-44,5.70576184878734e-41
"Vitvi05_01chr08g18440","Vitvi05_01chr08g18440",1137.89145129875,-3.82772553200543,0.275660611140761,-13.8856455268137,7.7399903906054e-44,6.03844763824907e-41
"PrxIII20a","Vitvi05_01chr12g15470",100.335994510296,-5.84770704526618,0.421883734538944,-13.8609445364298,1.09227416495734e-43,8.29725948569965e-41
"Vitvi05_01chr08g02100","Vitvi05_01chr08g02100",43.6723610215418,-3.44495061488715,0.248830412235501,-13.8445722286821,1.37195044280644e-43,1.01545439697566e-40
"Vitvi05_01chr15g01730","Vitvi05_01chr15g01730",63.5851661141272,4.99743033971258,0.361182545435527,13.8363007926823,1.53926532134946e-43,1.11081081915184e-40
"Vitvi05_01chr11g02070","Vitvi05_01chr11g02070",433.420739436193,-4.88036350671449,0.353723858220105,-13.797100176595,2.6531208545764e-43,1.86792650215127e-40
"Vitvi05_01chr11g08410","Vitvi05_01chr11g08410",230.887393502259,-3.04716249141846,0.221103322856992,-13.7816223295266,3.2879924930034e-43,2.25979026911991e-40
"Vitvi05_01chr12g23240","Vitvi05_01chr12g23240",2126.34872643517,3.37786155197292,0.247553402841591,13.6449812977703,2.16268985900516e-42,1.45181873186146e-39
"Vitvi05_01chr01g20540","Vitvi05_01chr01g20540",201.318341669151,-1.93768268499044,0.142180927652351,-13.6282883856849,2.71882335400426e-42,1.78176893066923e-39
"Vitvi05_01chr01g22830","Vitvi05_01chr01g22830",488.892440541771,-2.37459405926097,0.174260058319463,-13.6267259529303,2.77764850966935e-42,1.78176893066923e-39
"Vitvi05_01chr01g17220","Vitvi05_01chr01g17220",203.542657082293,-5.38911304939729,0.395531522887562,-13.6249900135754,2.84449184025415e-42,1.78498046653862e-39
"Vitvi05_01chr03g01010","Vitvi05_01chr03g01010",57.902072399623,-3.72663252449069,0.273869368261753,-13.6073360381396,3.62207391430097e-42,2.22456990660025e-39
"Vitvi05_01chr01g05010","Vitvi05_01chr01g05010",119.816879399697,4.06303093908338,0.299072021155682,13.585459861417,4.8845442491358e-42,2.93744279782404e-39
"Vitvi05_01chr08g22950","Vitvi05_01chr08g22950",327.849294327428,-2.61269458564329,0.192919624639772,-13.54291762967,8.72532756214787e-42,5.07514226128813e-39
"ZFP90","Vitvi05_01chr18g04720",69.4358611196688,-4.99284825507789,0.368683545024832,-13.5423680347372,8.7908651376847e-42,5.07514226128813e-39
"Vitvi05_01chr18g18660","Vitvi05_01chr18g18660",153.280446232498,7.61890622055964,0.56358538867814,13.5186368802594,1.21404495731957e-41,6.87149445842876e-39
"Vitvi05_01chr04g19840","Vitvi05_01chr04g19840",910.828031459187,-4.10307678593569,0.30416807960188,-13.4895048530606,1.80307389247551e-41,1.0009140573115e-38
"Vitvi05_01chr17g04930","Vitvi05_01chr17g04930",53.936587838367,-4.81706234705595,0.357239451608193,-13.4841275938894,1.93945977823856e-41,1.0563103011063e-38
"Vitvi05_01chr04g04950","Vitvi05_01chr04g04950",776.613114101537,5.79774929862269,0.430087738944536,13.480387310856,2.04032963208871e-41,1.09009885891118e-38
"Vitvi05_01chr05g08630","Vitvi05_01chr05g08630",476.173123847914,-3.95405805501968,0.293347942471554,-13.4790720592939,2.07702616365673e-41,1.09009885891118e-38
"PGB1","Vitvi05_01chr01g11490",367.617701883564,-5.59404728983758,0.415456567558147,-13.464818531373,2.51936416822271e-41,1.29821265935152e-38
"Vitvi05_01chr06g04420","Vitvi05_01chr06g04420",114.287240716021,-5.09781149918367,0.378639299168539,-13.4635034196874,2.56461932648819e-41,1.29821265935152e-38
"Vitvi05_01chr10g13530","Vitvi05_01chr10g13530",712.061126653459,-2.07020461000632,0.153778491631563,-13.4622507220731,2.6084782873411e-41,1.29821265935152e-38
"Vitvi05_01chr04g17270","Vitvi05_01chr04g17270",308.919394282436,-2.73440498773559,0.203175677871091,-13.4583283608902,2.75068895084301e-41,1.32335645425057e-38
"Vitvi05_01chr19g05780","Vitvi05_01chr19g05780",1936.39073406752,4.4473434483357,0.330439398845807,13.4588776758154,2.73031781978342e-41,1.32335645425057e-38
"Vitvi05_01chr19g05670","Vitvi05_01chr19g05670",690.633660535909,4.45908781273802,0.334253772240539,13.3404262960094,1.34687123677894e-40,6.37357133128869e-38
"Vitvi05_01chr09g03570","Vitvi05_01chr09g03570",79.2292009622475,-3.69883903254868,0.277589926305812,-13.3248316384283,1.66006862247735e-40,7.72895820265018e-38
"Vitvi05_01chr10g16410","Vitvi05_01chr10g16410",201.300947375763,-1.91254052650136,0.143620808714285,-13.3165976686993,1.85364256205551e-40,8.4932136819515e-38
"Vitvi05_01chr05g03610","Vitvi05_01chr05g03610",3959.43453676857,-7.3102259219069,0.549271253515076,-13.3089541371862,2.05335927832598e-40,9.26129202002463e-38
"Vitvi05_01chr11g06740","Vitvi05_01chr11g06740",1705.43323585142,5.18998068237688,0.390375286364144,13.2948495042169,2.47971653787237e-40,1.10122303972652e-37
"Vitvi05_01chr08g15780","Vitvi05_01chr08g15780",1081.25876516879,-3.03415575601436,0.228320207238477,-13.2890373248708,2.68004039928927e-40,1.16602469407194e-37
"Vitvi05_01chr13g24130","Vitvi05_01chr13g24130",479.807665441314,-3.18339772519558,0.239563880622539,-13.2883042173265,2.70642466925865e-40,1.16602469407194e-37
"Vitvi05_01chr06g09860","Vitvi05_01chr06g09860",242.250457727398,-3.18277203603878,0.240267256581169,-13.2467989243617,4.70862450211231e-40,1.99881110114668e-37
"Vitvi05_01chr06g19550","Vitvi05_01chr06g19550",169.846232782557,-2.95744623335633,0.223503530723936,-13.232212590902,5.71789754040058e-40,2.39207000581454e-37
"Vitvi05_01chr06g02110","Vitvi05_01chr06g02110",3435.07121135613,1.00425652684158,0.0759529549082944,13.2220863303359,6.54237200716855e-40,2.69788729084182e-37
"Vitvi05_01chr18g17230","Vitvi05_01chr18g17230",1481.30756939701,-1.39095518935864,0.105646828445777,-13.1660856253015,1.37546214876337e-39,5.59212540650753e-37
"Vitvi05_01chr07g05990","Vitvi05_01chr07g05990",127.540932964649,-3.63351836701132,0.277347106454038,-13.1009780973268,3.25041621690592e-39,1.3031460349612e-36
"YABBY3","Vitvi05_01chr02g07130",222.180002660352,-2.90599826049102,0.223167595837879,-13.021595942639,9.222301224506e-39,3.59744523171068e-36
