"final_gene","geneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHS3","Vitvi05_01chr05g15660",4708.29806702811,-1.91760475909419,0.267799674459887,-7.16059406331136,8.03281891797488e-13,1.75966931217158e-08
"CHS2","Vitvi05_01chr14g21860",7162.47037947021,-1.73439380180524,0.24897098262475,-6.96624877132499,3.25503357580393e-12,3.56523827557804e-08
"Vitvi05_01chr03g10690","Vitvi05_01chr03g10690",1308.89141506613,-2.47067353056471,0.37452151463943,-6.59688010966032,4.19900045093509e-11,3.0661101292728e-07
"RsGT-like2","Vitvi05_01chr03g09040",499.079036065767,-1.96086067971671,0.311961722193851,-6.28558101912981,3.26629764281553e-10,1.78878790408792e-06
"MYBPA1","Vitvi05_01chr15g16380",1115.746810544,-1.62582822700056,0.26874925560313,-6.04961015929833,1.45196753677097e-09,6.36136017210098e-06
"F3'5'H6","Vitvi05_01chr06g17580",1111.29610490772,-2.00053258788109,0.334240351896759,-5.98531139800567,2.1597625417754e-09,7.88529304002198e-06
"F3'5'H3","Vitvi05_01chr06g17200",1304.68277447564,-1.99206007428745,0.339660833123184,-5.86485069818158,4.49537008779842e-09,1.40679395919017e-05
"F3'5'H1","Vitvi05_01chr06g17100",5382.14034281927,-2.02233859726126,0.350284140837827,-5.77342323413253,7.76770036235958e-09,1.89065826819832e-05
"Vitvi05_01chr09g03440","Vitvi05_01chr09g03440",525.975273388867,-1.57960690456786,0.272787250801218,-5.79061851288253,7.01276950415015e-09,1.89065826819832e-05
"Vitvi05_01chr02g05280","Vitvi05_01chr02g05280",610.52497676033,-1.52263904338313,0.265751741953549,-5.72955432837489,1.00694836455769e-08,2.00529189763643e-05
"ANR1","Vitvi05_01chr10g05520",3802.64729931701,-1.75766891508461,0.306170605138823,-5.74081536758779,9.42217755112995e-09,2.00529189763643e-05
"CytoB5","Vitvi05_01chr18g10350",1320.64244043366,-1.97333727951451,0.348064137399745,-5.66946452529284,1.43244505176598e-08,2.6149284419988e-05
"CYP75A37P","Vitvi05_01chr06g17440",199.379434161415,-2.14811601585795,0.391706507851017,-5.48399368609665,4.15829618568634e-08,7.00704894181884e-05
"Vitvi05_01chr03g11020","Vitvi05_01chr03g11020",1524.1374569647,-2.58467752784993,0.489393402630293,-5.28139021482172,1.2820729885184e-07,0.000181835627908603
"MYBPA2","Vitvi05_01chr11g01440",650.583575665709,-1.69101359000648,0.319408461501956,-5.29420411110845,1.19535862378088e-07,0.000181835627908603
"Vitvi05_01chr12g01700","Vitvi05_01chr12g01700",1034.01725029932,-1.6359485112308,0.310136923646301,-5.27492338544163,1.32811560601554e-07,0.000181835627908603
"CYP75A38v3_fragment2","Vitvi05_01chr06g17280",1853.74644139939,-1.67756277277883,0.319593210875469,-5.24905634942446,1.52880310270502e-07,0.000196999769222683
"Vitvi05_01chr04g24100","Vitvi05_01chr04g24100",23.6240919115095,-3.70319546947118,0.724083768060231,-5.11431913380931,3.14874624779691e-07,0.000370202647573963
"CHS1","Vitvi05_01chr14g21850",9957.44975787727,-1.82748694016039,0.358265577452642,-5.10092806893222,3.37992009106147e-07,0.000370202647573963
"MYBC2-L2","Vitvi05_01chr17g03420",177.472575910645,-2.18881852359292,0.428630253424623,-5.10654230797976,3.28107174527104e-07,0.000370202647573963
"Vitvi05_01chr18g19110","Vitvi05_01chr18g19110",6462.44614818924,-1.12962690325345,0.223081955353017,-5.06373050866379,4.11130727060769e-07,0.00042886808128539
"Vitvi05_01chr09g04010","Vitvi05_01chr09g04010",49.9951557667006,-1.83343775027694,0.370486874636753,-4.94872524721571,7.47011072702293e-07,0.000722880441029354
"CHI1","Vitvi05_01chr13g03160",1882.94678975171,-1.39012790396913,0.28108209013997,-4.94562959623962,7.58981564122849e-07,0.000722880441029354
"LDOX1","Vitvi05_01chr02g05870",15597.4199302462,-1.74275101762431,0.354905032382892,-4.91047141801057,9.08576992587486e-07,0.000829303649984228
