pathway,gene
GO:0003002,Vitvi05_01chr09g19710
GO:0003002,Vitvi05_01chr09g19950
GO:0003002,Vitvi05_01chr10g22110
GO:0003002,Vitvi05_01chr09g19530
GO:0003002,Vitvi05_01chr09g08660
GO:0003002,Vitvi05_01chr07g23460
GO:0003002,Vitvi05_01chr07g23510
GO:0003002,Vitvi05_01chr09g17580
GO:0003002,Vitvi05_01chr09g19520
GO:0003002,Vitvi05_01chr09g19310
GO:0003002,Vitvi05_01chr09g13340
GO:0003002,Vitvi05_01chr14g15470
GO:0003002,Vitvi05_01chr09g20000
GO:0003002,Vitvi05_01chr12g01320
GO:0003002,Vitvi05_01chr09g17640
GO:0003002,Vitvi05_01chr09g19360
GO:0003002,Vitvi05_01chr04g11170
GO:0003002,Vitvi05_01chr09g19700
GO:0003002,Vitvi05_01chr09g19640
GO:0003002,Vitvi05_01chr14g10200
GO:0003002,Vitvi05_01chr03g18340
GO:0003002,Vitvi05_01chr09g19320
GO:0003002,Vitvi05_01chr04g14420
GO:0003002,Vitvi05_01chr03g18360
GO:0003002,Vitvi05_01chr01g16870
GO:0003002,Vitvi05_01chr08g00150
GO:0003002,Vitvi05_01chr01g23240
GO:0003002,Vitvi05_01chr18g27060
GO:0003002,Vitvi05_01chr09g17310
GO:0003002,Vitvi05_01chr06g19030
GO:0003002,Vitvi05_01chr06g13610
GO:0003002,Vitvi05_01chr07g07810
GO:0003002,Vitvi05_01chr09g19660
GO:0003002,Vitvi05_01chr11g11710
GO:0003002,Vitvi05_01chr12g19530
GO:0003002,Vitvi05_01chr09g17430
GO:0003002,Vitvi05_01chr15g13710
GO:0003002,Vitvi05_01chr06g02900
GO:0003002,Vitvi05_01chr12g14330
GO:0003002,Vitvi05_01chr18g13560
GO:0003002,Vitvi05_01chr09g19620
GO:0003002,Vitvi05_01chr09g19570
GO:0003002,Vitvi05_01chr09g19330
GO:0003002,Vitvi05_01chr09g19410
GO:0003002,Vitvi05_01chr14g26700
GO:0003002,Vitvi05_01chr09g19390
GO:0003002,Vitvi05_01chr12g00180
GO:0003002,Vitvi05_01chr11g09020
GO:0003002,Vitvi05_01chr19g19930
GO:0003002,Vitvi05_01chr07g26300
GO:0003002,Vitvi05_01chr01g25190
GO:0003002,Vitvi05_01chr04g07230
GO:0003002,Vitvi05_01chr14g19910
GO:0003002,Vitvi05_01chr07g17600
GO:0003002,Vitvi05_01chr18g15700
GO:0003002,Vitvi05_01chr19g21540
GO:0003002,Vitvi05_01chr06g18990
GO:0003002,Vitvi05_01chr16g00010
GO:0003002,Vitvi05_01chr11g17070
GO:0003002,Vitvi05_01chr14g22290
GO:0003002,Vitvi05_01chr06g19930
GO:0003002,Vitvi05_01chr09g19940
GO:0003002,Vitvi05_01chr04g02220
GO:0003002,Vitvi05_01chr09g17280
GO:0003002,Vitvi05_01chr03g18330
GO:0003002,Vitvi05_01chr18g02190
GO:0003002,Vitvi05_01chr03g18320
GO:0003002,Vitvi05_01chr07g03420
GO:0003002,Vitvi05_01chr18g06080
GO:0003002,Vitvi05_01chr09g10950
GO:0003002,Vitvi05_01chr04g13710
GO:0003002,Vitvi05_01chr15g12720
GO:0003002,Vitvi05_01chr06g08660
GO:0003002,Vitvi05_01chr13g20290
GO:0003002,Vitvi05_01chr03g04280
GO:0003002,Vitvi05_01chr09g19630
GO:0003002,Vitvi05_01chr19g22800
GO:0003002,Vitvi05_01chr09g19340
GO:0003002,Vitvi05_01chr09g17350
GO:0004675,Vitvi05_01chr09g19710
GO:0004675,Vitvi05_01chr09g19950
GO:0004675,Vitvi05_01chr09g19530
GO:0004675,Vitvi05_01chr14g28470
GO:0004675,Vitvi05_01chr01g11270
GO:0004675,Vitvi05_01chr09g17580
GO:0004675,Vitvi05_01chr18g32290
GO:0004675,Vitvi05_01chr04g17140
GO:0004675,Vitvi05_01chr09g19520
GO:0004675,Vitvi05_01chr09g19310
GO:0004675,Vitvi05_01chr01g06980
GO:0004675,Vitvi05_01chr09g13340
GO:0004675,Vitvi05_01chr09g20000
GO:0004675,Vitvi05_01chr09g17640
GO:0004675,Vitvi05_01chr09g19360
GO:0004675,Vitvi05_01chr09g19700
GO:0004675,Vitvi05_01chr14g28460
GO:0004675,Vitvi05_01chr09g19640
GO:0004675,Vitvi05_01chr03g03900
GO:0004675,Vitvi05_01chr09g19320
GO:0004675,Vitvi05_01chr15g08040
GO:0004675,Vitvi05_01chr14g28860
GO:0004675,Vitvi05_01chr09g17310
GO:0004675,Vitvi05_01chr15g08060
GO:0004675,Vitvi05_01chr02g11570
GO:0004675,Vitvi05_01chr09g19660
GO:0004675,Vitvi05_01chr18g00280
GO:0004675,Vitvi05_01chr09g17430
GO:0004675,Vitvi05_01chr11g17760
GO:0004675,Vitvi05_01chr03g02340
GO:0004675,Vitvi05_01chr14g14730
GO:0004675,Vitvi05_01chr10g13110
GO:0004675,Vitvi05_01chr09g19620
GO:0004675,Vitvi05_01chr09g21680
GO:0004675,Vitvi05_01chr18g17650
GO:0004675,Vitvi05_01chr09g19570
GO:0004675,Vitvi05_01chr09g02620
GO:0004675,Vitvi05_01chr03g09740
GO:0004675,Vitvi05_01chr18g00270
GO:0004675,Vitvi05_01chr09g19330
GO:0004675,Vitvi05_01chr09g19410
GO:0004675,Vitvi05_01chr06g13670
GO:0004675,Vitvi05_01chr14g28490
GO:0004675,Vitvi05_01chr07g23150
GO:0004675,Vitvi05_01chr09g19390
GO:0004675,Vitvi05_01chr10g13100
GO:0004675,Vitvi05_01chr01g12500
GO:0004675,Vitvi05_01chr09g19940
GO:0004675,Vitvi05_01chr04g13450
GO:0004675,Vitvi05_01chr06g04420
GO:0004675,Vitvi05_01chr12g08030
GO:0004675,Vitvi05_01chr09g17280
GO:0004675,Vitvi05_01chr15g11330
GO:0004675,Vitvi05_01chr03g05720
GO:0004675,Vitvi05_01chr07g24440
GO:0004675,Vitvi05_01chr08g13840
GO:0004675,Vitvi05_01chr06g04090
GO:0004675,Vitvi05_01chr09g19630
GO:0004675,Vitvi05_01chr08g10730
GO:0004675,Vitvi05_01chr09g19340
GO:0004675,Vitvi05_01chr09g17350
GO:0004675,Vitvi05_01chr07g23190
