pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO:0003002,0.000458662997362688,0.0534706321177389,-0.432020863808399,-1.55708494483787,3,182,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr10g22110|Vitvi05_01chr09g19530|Vitvi05_01chr09g08660|Vitvi05_01chr07g23460|Vitvi05_01chr07g23510|Vitvi05_01chr09g17580|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr09g13340|Vitvi05_01chr14g15470|Vitvi05_01chr09g20000|Vitvi05_01chr12g01320|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr04g11170|Vitvi05_01chr09g19700|Vitvi05_01chr09g19640|Vitvi05_01chr14g10200|Vitvi05_01chr03g18340|Vitvi05_01chr09g19320|Vitvi05_01chr04g14420|Vitvi05_01chr03g18360|Vitvi05_01chr01g16870|Vitvi05_01chr08g00150|Vitvi05_01chr01g23240|Vitvi05_01chr18g27060|Vitvi05_01chr09g17310|Vitvi05_01chr06g19030|Vitvi05_01chr06g13610|Vitvi05_01chr07g07810|Vitvi05_01chr09g19660|Vitvi05_01chr11g11710|Vitvi05_01chr12g19530|Vitvi05_01chr09g17430|Vitvi05_01chr15g13710|Vitvi05_01chr06g02900|Vitvi05_01chr12g14330|Vitvi05_01chr18g13560|Vitvi05_01chr09g19620|Vitvi05_01chr09g19570|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr14g26700|Vitvi05_01chr09g19390|Vitvi05_01chr12g00180|Vitvi05_01chr11g09020|Vitvi05_01chr19g19930|Vitvi05_01chr07g26300|Vitvi05_01chr01g25190|Vitvi05_01chr04g07230|Vitvi05_01chr14g19910|Vitvi05_01chr07g17600|Vitvi05_01chr18g15700|Vitvi05_01chr19g21540|Vitvi05_01chr06g18990|Vitvi05_01chr16g00010|Vitvi05_01chr11g17070|Vitvi05_01chr14g22290|Vitvi05_01chr06g19930|Vitvi05_01chr09g19940|Vitvi05_01chr04g02220|Vitvi05_01chr09g17280|Vitvi05_01chr03g18330|Vitvi05_01chr18g02190|Vitvi05_01chr03g18320|Vitvi05_01chr07g03420|Vitvi05_01chr18g06080|Vitvi05_01chr09g10950|Vitvi05_01chr04g13710|Vitvi05_01chr15g12720|Vitvi05_01chr06g08660|Vitvi05_01chr13g20290|Vitvi05_01chr03g04280|Vitvi05_01chr09g19630|Vitvi05_01chr19g22800|Vitvi05_01chr09g19340|Vitvi05_01chr09g17350
GO:0004675,0.000582139946443125,0.0534706321177389,-0.454844905875633,-1.621060989559,4,160,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr14g28470|Vitvi05_01chr01g11270|Vitvi05_01chr09g17580|Vitvi05_01chr18g32290|Vitvi05_01chr04g17140|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr01g06980|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr09g19700|Vitvi05_01chr14g28460|Vitvi05_01chr09g19640|Vitvi05_01chr03g03900|Vitvi05_01chr09g19320|Vitvi05_01chr15g08040|Vitvi05_01chr14g28860|Vitvi05_01chr09g17310|Vitvi05_01chr15g08060|Vitvi05_01chr02g11570|Vitvi05_01chr09g19660|Vitvi05_01chr18g00280|Vitvi05_01chr09g17430|Vitvi05_01chr11g17760|Vitvi05_01chr03g02340|Vitvi05_01chr14g14730|Vitvi05_01chr10g13110|Vitvi05_01chr09g19620|Vitvi05_01chr09g21680|Vitvi05_01chr18g17650|Vitvi05_01chr09g19570|Vitvi05_01chr09g02620|Vitvi05_01chr03g09740|Vitvi05_01chr18g00270|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr06g13670|Vitvi05_01chr14g28490|Vitvi05_01chr07g23150|Vitvi05_01chr09g19390|Vitvi05_01chr10g13100|Vitvi05_01chr01g12500|Vitvi05_01chr09g19940|Vitvi05_01chr04g13450|Vitvi05_01chr06g04420|Vitvi05_01chr12g08030|Vitvi05_01chr09g17280|Vitvi05_01chr15g11330|Vitvi05_01chr03g05720|Vitvi05_01chr07g24440|Vitvi05_01chr08g13840|Vitvi05_01chr06g04090|Vitvi05_01chr09g19630|Vitvi05_01chr08g10730|Vitvi05_01chr09g19340|Vitvi05_01chr09g17350|Vitvi05_01chr07g23190|Vitvi05_01chr11g04600|Vitvi05_01chr09g00120|Vitvi05_01chr18g17320|Vitvi05_01chr08g16260|Vitvi05_01chr09g17420|Vitvi05_01chr18g11650|Vitvi05_01chr18g03290|Vitvi05_01chr10g06390|Vitvi05_01chr09g17010|Vitvi05_01chr07g23040|Vitvi05_01chr04g22330|Vitvi05_01chr06g10550|Vitvi05_01chr18g01220|Vitvi05_01chr14g00600|Vitvi05_01chr15g12920|Vitvi05_01chr05g09230|Vitvi05_01chr08g15150
GO:0007167,0.000231053604436229,0.0534706321177389,-0.450167087239626,-1.61441591769061,1,173,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr14g28470|Vitvi05_01chr01g11270|Vitvi05_01chr09g17580|Vitvi05_01chr18g32290|Vitvi05_01chr04g17140|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr01g06980|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr09g19700|Vitvi05_01chr14g28460|Vitvi05_01chr09g19640|Vitvi05_01chr03g03900|Vitvi05_01chr16g14800|Vitvi05_01chr09g19320|Vitvi05_01chr15g08040|Vitvi05_01chr14g28860|Vitvi05_01chr09g17310|Vitvi05_01chr15g08060|Vitvi05_01chr02g11570|Vitvi05_01chr09g19660|Vitvi05_01chr18g00280|Vitvi05_01chr09g17430|Vitvi05_01chr11g17760|Vitvi05_01chr03g02340|Vitvi05_01chr14g14730|Vitvi05_01chr10g13110|Vitvi05_01chr09g19620|Vitvi05_01chr09g21680|Vitvi05_01chr18g17650|Vitvi05_01chr09g19570|Vitvi05_01chr09g02620|Vitvi05_01chr03g09740|Vitvi05_01chr18g00270|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr10g06220|Vitvi05_01chr06g13670|Vitvi05_01chr14g28490|Vitvi05_01chr07g23150|Vitvi05_01chr09g19390|Vitvi05_01chr16g18920|Vitvi05_01chr10g13100|Vitvi05_01chr07g19030|Vitvi05_01chr01g12500|Vitvi05_01chr09g19940|Vitvi05_01chr04g13450|Vitvi05_01chr06g04420|Vitvi05_01chr12g08030|Vitvi05_01chr09g17280|Vitvi05_01chr15g11330|Vitvi05_01chr03g05720|Vitvi05_01chr07g24440|Vitvi05_01chr10g06120|Vitvi05_01chr08g13840|Vitvi05_01chr06g04090|Vitvi05_01chr09g19630|Vitvi05_01chr08g10730|Vitvi05_01chr09g19340|Vitvi05_01chr09g17350|Vitvi05_01chr07g23190|Vitvi05_01chr11g04600|Vitvi05_01chr09g00120|Vitvi05_01chr10g06250|Vitvi05_01chr18g17320|Vitvi05_01chr08g16260|Vitvi05_01chr09g17420|Vitvi05_01chr18g11650|Vitvi05_01chr18g03290|Vitvi05_01chr10g06390|Vitvi05_01chr09g17010|Vitvi05_01chr07g23040|Vitvi05_01chr04g22330|Vitvi05_01chr06g10550|Vitvi05_01chr18g01220|Vitvi05_01chr14g00600|Vitvi05_01chr15g12920|Vitvi05_01chr05g09230|Vitvi05_01chr08g15150
GO:0007178,0.000581598231941375,0.0534706321177389,-0.453324513643693,-1.61680119992325,4,161,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr14g28470|Vitvi05_01chr01g11270|Vitvi05_01chr09g17580|Vitvi05_01chr18g32290|Vitvi05_01chr04g17140|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr01g06980|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr09g19700|Vitvi05_01chr14g28460|Vitvi05_01chr09g19640|Vitvi05_01chr03g03900|Vitvi05_01chr09g19320|Vitvi05_01chr15g08040|Vitvi05_01chr14g28860|Vitvi05_01chr09g17310|Vitvi05_01chr15g08060|Vitvi05_01chr02g11570|Vitvi05_01chr09g19660|Vitvi05_01chr18g00280|Vitvi05_01chr09g17430|Vitvi05_01chr11g17760|Vitvi05_01chr03g02340|Vitvi05_01chr14g14730|Vitvi05_01chr10g13110|Vitvi05_01chr09g19620|Vitvi05_01chr09g21680|Vitvi05_01chr18g17650|Vitvi05_01chr09g19570|Vitvi05_01chr09g02620|Vitvi05_01chr03g09740|Vitvi05_01chr18g00270|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr06g13670|Vitvi05_01chr14g28490|Vitvi05_01chr07g23150|Vitvi05_01chr09g19390|Vitvi05_01chr10g13100|Vitvi05_01chr01g12500|Vitvi05_01chr09g19940|Vitvi05_01chr04g13450|Vitvi05_01chr06g04420|Vitvi05_01chr12g08030|Vitvi05_01chr09g17280|Vitvi05_01chr15g11330|Vitvi05_01chr03g05720|Vitvi05_01chr07g24440|Vitvi05_01chr08g13840|Vitvi05_01chr06g04090|Vitvi05_01chr09g19630|Vitvi05_01chr08g10730|Vitvi05_01chr09g19340|Vitvi05_01chr09g17350|Vitvi05_01chr07g23190|Vitvi05_01chr11g04600|Vitvi05_01chr09g00120|Vitvi05_01chr18g17320|Vitvi05_01chr08g16260|Vitvi05_01chr09g17420|Vitvi05_01chr18g11650|Vitvi05_01chr18g03290|Vitvi05_01chr10g06390|Vitvi05_01chr09g17010|Vitvi05_01chr07g23040|Vitvi05_01chr04g22330|Vitvi05_01chr06g10550|Vitvi05_01chr18g01220|Vitvi05_01chr14g00600|Vitvi05_01chr15g12920|Vitvi05_01chr05g09230|Vitvi05_01chr08g15150
GO:0007389,0.000571951498512926,0.0534706321177389,-0.421051960897304,-1.52747112960955,4,196,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr10g22110|Vitvi05_01chr09g19530|Vitvi05_01chr09g08660|Vitvi05_01chr07g23460|Vitvi05_01chr07g23510|Vitvi05_01chr09g17580|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr09g13340|Vitvi05_01chr14g15470|Vitvi05_01chr09g20000|Vitvi05_01chr12g01320|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr04g11170|Vitvi05_01chr09g19700|Vitvi05_01chr09g19640|Vitvi05_01chr14g10200|Vitvi05_01chr03g18340|Vitvi05_01chr09g19320|Vitvi05_01chr04g14420|Vitvi05_01chr03g18360|Vitvi05_01chr01g16870|Vitvi05_01chr08g00150|Vitvi05_01chr01g23240|Vitvi05_01chr18g27060|Vitvi05_01chr09g17310|Vitvi05_01chr06g19030|Vitvi05_01chr06g13610|Vitvi05_01chr07g07810|Vitvi05_01chr09g19660|Vitvi05_01chr11g11710|Vitvi05_01chr12g19530|Vitvi05_01chr09g17430|Vitvi05_01chr15g13710|Vitvi05_01chr06g02900|Vitvi05_01chr12g14330|Vitvi05_01chr18g13560|Vitvi05_01chr09g19620|Vitvi05_01chr09g19570|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr14g26700|Vitvi05_01chr09g19390|Vitvi05_01chr12g00180|Vitvi05_01chr11g09020|Vitvi05_01chr19g19930|Vitvi05_01chr07g26300|Vitvi05_01chr01g25190|Vitvi05_01chr04g07230|Vitvi05_01chr14g19910|Vitvi05_01chr07g17600|Vitvi05_01chr18g15700|Vitvi05_01chr19g21540|Vitvi05_01chr06g18990|Vitvi05_01chr16g00010|Vitvi05_01chr11g17070|Vitvi05_01chr01g06250|Vitvi05_01chr14g22290|Vitvi05_01chr06g19930|Vitvi05_01chr09g19940|Vitvi05_01chr04g02220|Vitvi05_01chr09g17280|Vitvi05_01chr03g18330|Vitvi05_01chr18g02190|Vitvi05_01chr03g18320|Vitvi05_01chr07g03420|Vitvi05_01chr18g06080|Vitvi05_01chr09g10950|Vitvi05_01chr04g13710|Vitvi05_01chr15g12720|Vitvi05_01chr06g08660|Vitvi05_01chr13g20290|Vitvi05_01chr03g04280|Vitvi05_01chr09g19630|Vitvi05_01chr19g22800|Vitvi05_01chr09g19340|Vitvi05_01chr09g17350
GO:0009595,0.000411974732216424,0.0534706321177389,-0.647651469429374,-1.91700531589312,2,43,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr14g28470|Vitvi05_01chr09g17580|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr01g06980|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr09g19700|Vitvi05_01chr14g28460|Vitvi05_01chr09g19640|Vitvi05_01chr09g19320|Vitvi05_01chr14g28860|Vitvi05_01chr09g17310|Vitvi05_01chr09g19660|Vitvi05_01chr09g17430|Vitvi05_01chr10g13110|Vitvi05_01chr09g19620|Vitvi05_01chr09g19570|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr14g28490|Vitvi05_01chr09g19390|Vitvi05_01chr10g13100
GO:0009742,0.000403171616718183,0.0534706321177389,-0.627034395216676,-1.91242247102742,2,52,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr09g17580|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr11g10330|Vitvi05_01chr09g19700|Vitvi05_01chr09g19640|Vitvi05_01chr09g19320|Vitvi05_01chr09g17310|Vitvi05_01chr14g20810|Vitvi05_01chr02g11570|Vitvi05_01chr09g19660|Vitvi05_01chr09g17430|Vitvi05_01chr09g19620|Vitvi05_01chr09g19570|Vitvi05_01chr03g09740|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr09g19390
GO:0010359,0.000406448990651673,0.0534706321177389,-0.625990798667855,-1.88938646942385,2,49,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr14g28470|Vitvi05_01chr09g17580|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr01g06980|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr09g19700|Vitvi05_01chr14g28460|Vitvi05_01chr09g19640|Vitvi05_01chr09g19320|Vitvi05_01chr14g28860|Vitvi05_01chr09g17310|Vitvi05_01chr09g19660|Vitvi05_01chr09g17430|Vitvi05_01chr10g13110|Vitvi05_01chr09g19620|Vitvi05_01chr09g19570|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr14g28490|Vitvi05_01chr09g19390|Vitvi05_01chr10g13100
GO:0016045,0.000411974732216424,0.0534706321177389,-0.647651469429374,-1.91700531589312,2,43,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr14g28470|Vitvi05_01chr09g17580|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr01g06980|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr09g19700|Vitvi05_01chr14g28460|Vitvi05_01chr09g19640|Vitvi05_01chr09g19320|Vitvi05_01chr14g28860|Vitvi05_01chr09g17310|Vitvi05_01chr09g19660|Vitvi05_01chr09g17430|Vitvi05_01chr10g13110|Vitvi05_01chr09g19620|Vitvi05_01chr09g19570|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr14g28490|Vitvi05_01chr09g19390|Vitvi05_01chr10g13100
GO:0019199,0.000231722859460086,0.0534706321177389,-0.452711083484552,-1.62123670653975,1,170,Vitvi05_01chr09g19710|Vitvi05_01chr09g19950|Vitvi05_01chr09g19530|Vitvi05_01chr14g28470|Vitvi05_01chr01g11270|Vitvi05_01chr09g17580|Vitvi05_01chr18g32290|Vitvi05_01chr04g17140|Vitvi05_01chr09g19520|Vitvi05_01chr09g19310|Vitvi05_01chr01g06980|Vitvi05_01chr09g13340|Vitvi05_01chr09g20000|Vitvi05_01chr09g17640|Vitvi05_01chr09g19360|Vitvi05_01chr09g19700|Vitvi05_01chr14g28460|Vitvi05_01chr09g19640|Vitvi05_01chr03g03900|Vitvi05_01chr16g14800|Vitvi05_01chr09g19320|Vitvi05_01chr15g08040|Vitvi05_01chr14g28860|Vitvi05_01chr09g17310|Vitvi05_01chr15g08060|Vitvi05_01chr02g11570|Vitvi05_01chr09g19660|Vitvi05_01chr18g00280|Vitvi05_01chr09g17430|Vitvi05_01chr11g17760|Vitvi05_01chr03g02340|Vitvi05_01chr14g14730|Vitvi05_01chr10g13110|Vitvi05_01chr09g19620|Vitvi05_01chr09g21680|Vitvi05_01chr18g17650|Vitvi05_01chr09g19570|Vitvi05_01chr09g02620|Vitvi05_01chr03g09740|Vitvi05_01chr18g00270|Vitvi05_01chr16g13930|Vitvi05_01chr09g19330|Vitvi05_01chr09g19410|Vitvi05_01chr06g13670|Vitvi05_01chr14g28490|Vitvi05_01chr07g23150|Vitvi05_01chr09g19390|Vitvi05_01chr16g18920|Vitvi05_01chr10g13100|Vitvi05_01chr01g12500|Vitvi05_01chr09g19940|Vitvi05_01chr04g02220|Vitvi05_01chr04g13450|Vitvi05_01chr06g04420|Vitvi05_01chr12g08030|Vitvi05_01chr09g17280|Vitvi05_01chr15g11330|Vitvi05_01chr07g03420|Vitvi05_01chr03g05720|Vitvi05_01chr07g24440|Vitvi05_01chr08g13840|Vitvi05_01chr06g04090|Vitvi05_01chr09g19630|Vitvi05_01chr08g10730|Vitvi05_01chr09g19340|Vitvi05_01chr09g17350|Vitvi05_01chr07g23190|Vitvi05_01chr11g04600|Vitvi05_01chr09g00120|Vitvi05_01chr18g17320|Vitvi05_01chr08g16260|Vitvi05_01chr09g17420|Vitvi05_01chr18g11650|Vitvi05_01chr18g03290|Vitvi05_01chr10g06390|Vitvi05_01chr09g17010|Vitvi05_01chr07g23040|Vitvi05_01chr04g22330|Vitvi05_01chr06g10550|Vitvi05_01chr18g01220|Vitvi05_01chr14g00600|Vitvi05_01chr15g12920|Vitvi05_01chr05g09230|Vitvi05_01chr08g15150
