pathway,gene
GO:0002252,Vitvi05_01chr11g09020
GO:0002252,Vitvi05_01chr05g10970
GO:0002252,Vitvi05_01chr18g32290
GO:0002252,Vitvi05_01chr08g01070
GO:0002252,Vitvi05_01chr14g12080
GO:0002252,Vitvi05_01chr11g09290
GO:0002252,Vitvi05_01chr04g07310
GO:0002252,Vitvi05_01chr13g13070
GO:0002252,Vitvi05_01chr11g09350
GO:0002252,Vitvi05_01chr13g13120
GO:0002252,Vitvi05_01chr15g02520
GO:0002252,Vitvi05_01chr11g06440
GO:0002252,Vitvi05_01chr18g35140
GO:0002252,Vitvi05_01chr09g16540
GO:0002252,Vitvi05_01chr07g30630
GO:0002252,Vitvi05_01chr02g15760
GO:0002252,Vitvi05_01chr18g35640
GO:0002252,Vitvi05_01chr18g18430
GO:0002252,Vitvi05_01chr07g21810
GO:0002252,Vitvi05_01chr04g02400
GO:0002252,Vitvi05_01chr19g00920
GO:0002252,Vitvi05_01chr10g15640
GO:0002252,Vitvi05_01chr11g09380
GO:0002252,Vitvi05_01chr11g02460
GO:0002252,Vitvi05_01chr04g24180
GO:0002252,Vitvi05_01chr17g17700
GO:0002252,Vitvi05_01chr04g06660
GO:0002252,Vitvi05_01chr04g21860
GO:0002252,Vitvi05_01chr12g17050
GO:0002252,Vitvi05_01chr11g08130
GO:0002252,Vitvi05_01chr04g07950
GO:0002252,Vitvi05_01chr11g02670
GO:0002252,Vitvi05_01chr15g05800
GO:0002252,Vitvi05_01chr06g14620
GO:0002252,Vitvi05_01chr13g00570
GO:0002252,Vitvi05_01chr10g06120
GO:0002252,Vitvi05_01chr14g22110
GO:0002252,Vitvi05_01chr09g06120
GO:0002252,Vitvi05_01chr18g35710
GO:0002252,Vitvi05_01chr03g01270
GO:0002252,Vitvi05_01chr16g04460
GO:0002252,Vitvi05_01chr18g31220
GO:0002252,Vitvi05_01chr18g31260
GO:0002252,Vitvi05_01chr18g31440
GO:0002252,Vitvi05_01chr07g11090
GO:0002252,Vitvi05_01chr02g10380
GO:0002252,Vitvi05_01chr10g15860
GO:0002252,Vitvi05_01chr13g20260
GO:0002252,Vitvi05_01chr09g13590
GO:0002252,Vitvi05_01chr18g31290
GO:0002252,Vitvi05_01chr17g05570
GO:0002252,Vitvi05_01chr14g12570
GO:0002252,Vitvi05_01chr09g20830
GO:0002252,Vitvi05_01chr09g18040
GO:0002252,Vitvi05_01chr13g14520
GO:0002252,Vitvi05_01chr05g19050
GO:0002252,Vitvi05_01chr12g17620
GO:0002252,Vitvi05_01chr09g13610
GO:0002252,Vitvi05_01chr10g12900
GO:0002252,Vitvi05_01chr03g12100
GO:0002252,Vitvi05_01chr10g06220
GO:0002252,Vitvi05_01chr18g31300
GO:0002252,Vitvi05_01chr10g16800
GO:0002252,Vitvi05_01chr04g19360
GO:0002252,Vitvi05_01chr01g16920
GO:0002252,Vitvi05_01chr13g15070
GO:0002252,Vitvi05_01chr05g15740
GO:0002252,Vitvi05_01chr07g16730
GO:0002252,Vitvi05_01chr09g05490
GO:0002252,Vitvi05_01chr07g02440
GO:0002252,Vitvi05_01chr18g14980
GO:0002252,Vitvi05_01chr09g14230
GO:0002252,Vitvi05_01chr01g03880
GO:0002252,Vitvi05_01chr13g00560
GO:0002252,Vitvi05_01chr01g20540
GO:0002252,Vitvi05_01chr16g08890
GO:0002252,Vitvi05_01chr16g00070
GO:0002252,Vitvi05_01chr12g05090
GO:0002252,Vitvi05_01chr11g09370
GO:0002376,Vitvi05_01chr11g09020
GO:0002376,Vitvi05_01chr12g19460
GO:0002376,Vitvi05_01chr05g10970
GO:0002376,Vitvi05_01chr18g32290
GO:0002376,Vitvi05_01chr18g00280
GO:0002376,Vitvi05_01chr17g10900
GO:0002376,Vitvi05_01chr03g17630
GO:0002376,Vitvi05_01chr09g05370
GO:0002376,Vitvi05_01chr10g11490
GO:0002376,Vitvi05_01chr08g01070
GO:0002376,Vitvi05_01chr17g11170
GO:0002376,Vitvi05_01chr17g10810
GO:0002376,Vitvi05_01chr10g10170
GO:0002376,Vitvi05_01chr05g24210
GO:0002376,Vitvi05_01chr14g15440
GO:0002376,Vitvi05_01chr05g26060
GO:0002376,Vitvi05_01chr14g12080
GO:0002376,Vitvi05_01chr12g14500
GO:0002376,Vitvi05_01chr11g09290
GO:0002376,Vitvi05_01chr05g23970
GO:0002376,Vitvi05_01chr05g01580
GO:0002376,Vitvi05_01chr10g23050
GO:0002376,Vitvi05_01chr19g09310
GO:0002376,Vitvi05_01chr04g07310
GO:0002376,Vitvi05_01chr13g13070
GO:0002376,Vitvi05_01chr14g27190
GO:0002376,Vitvi05_01chr11g09350
GO:0002376,Vitvi05_01chr18g00270
GO:0002376,Vitvi05_01chr17g10850
GO:0002376,Vitvi05_01chr13g13120
GO:0002376,Vitvi05_01chr15g02520
GO:0002376,Vitvi05_01chr18g07480
GO:0002376,Vitvi05_01chr07g01480
GO:0002376,Vitvi05_01chr11g06440
GO:0002376,Vitvi05_01chr18g35140
GO:0002376,Vitvi05_01chr05g15260
GO:0002376,Vitvi05_01chr03g05680
GO:0002376,Vitvi05_01chr10g11540
GO:0002376,Vitvi05_01chr09g16540
GO:0002376,Vitvi05_01chr15g13580
GO:0002376,Vitvi05_01chr07g30630
GO:0002376,Vitvi05_01chr02g15760
GO:0002376,Vitvi05_01chr10g11140
GO:0002376,Vitvi05_01chr19g18860
GO:0002376,Vitvi05_01chr17g05400
GO:0002376,Vitvi05_01chr07g24440
GO:0002376,Vitvi05_01chr11g00110
GO:0002376,Vitvi05_01chr18g16120
GO:0002376,Vitvi05_01chr18g35640
GO:0002376,Vitvi05_01chr11g08430
GO:0002376,Vitvi05_01chr18g18430
GO:0002376,Vitvi05_01chr12g15300
GO:0002376,Vitvi05_01chr07g03740
GO:0002376,Vitvi05_01chr16g14800
GO:0002376,Vitvi05_01chr07g21810
GO:0002376,Vitvi05_01chr18g01220
GO:0002376,Vitvi05_01chr07g14760
GO:0002376,Vitvi05_01chr04g02400
GO:0002376,Vitvi05_01chr19g00920
GO:0002376,Vitvi05_01chr17g10940
GO:0002376,Vitvi05_01chr10g15640
GO:0002376,Vitvi05_01chr07g26890
GO:0002376,Vitvi05_01chr12g14170
GO:0002376,Vitvi05_01chr11g09380
GO:0002376,Vitvi05_01chr11g02460
GO:0002376,Vitvi05_01chr03g17610
GO:0002376,Vitvi05_01chr08g03750
GO:0002376,Vitvi05_01chr05g24000
GO:0002376,Vitvi05_01chr04g24180
GO:0002376,Vitvi05_01chr17g17700
GO:0002376,Vitvi05_01chr04g06660
GO:0002376,Vitvi05_01chr01g21530
GO:0002376,Vitvi05_01chr04g21860
GO:0002376,Vitvi05_01chr04g19960
GO:0002376,Vitvi05_01chr08g10730
GO:0002376,Vitvi05_01chr04g09100
GO:0002376,Vitvi05_01chr12g17050
GO:0002376,Vitvi05_01chr11g08130
GO:0002376,Vitvi05_01chr04g07950
GO:0002376,Vitvi05_01chr04g09080
GO:0002376,Vitvi05_01chr11g02670
GO:0002376,Vitvi05_01chr15g05800
GO:0002376,Vitvi05_01chr14g01770
GO:0002376,Vitvi05_01chr06g14620
GO:0002376,Vitvi05_01chr13g00570
GO:0002376,Vitvi05_01chr05g23740
GO:0002376,Vitvi05_01chr05g23690
GO:0002376,Vitvi05_01chr18g05250
GO:0002376,Vitvi05_01chr10g06120
GO:0002376,Vitvi05_01chr14g22110
GO:0002376,Vitvi05_01chr06g13880
GO:0002376,Vitvi05_01chr09g06120
GO:0002376,Vitvi05_01chr18g35710
GO:0002376,Vitvi05_01chr07g15040
GO:0002376,Vitvi05_01chr03g01270
GO:0002376,Vitvi05_01chr07g01490
GO:0002376,Vitvi05_01chr10g05410
GO:0002376,Vitvi05_01chr07g14850
GO:0002376,Vitvi05_01chr19g01100
GO:0002376,Vitvi05_01chr16g18140
GO:0002376,Vitvi05_01chr16g04460
GO:0002376,Vitvi05_01chr09g11890
GO:0002376,Vitvi05_01chr12g04330
GO:0002376,Vitvi05_01chr09g15640
GO:0002376,Vitvi05_01chr18g31220
GO:0002376,Vitvi05_01chr18g31260
GO:0002376,Vitvi05_01chr09g03910
GO:0002376,Vitvi05_01chr15g10620
GO:0002376,Vitvi05_01chr18g31440
GO:0002376,Vitvi05_01chr07g11090
GO:0002376,Vitvi05_01chr02g10380
GO:0002376,Vitvi05_01chr10g15860
GO:0002376,Vitvi05_01chr02g01420
GO:0002376,Vitvi05_01chr13g20260
GO:0002376,Vitvi05_01chr18g11310
GO:0002376,Vitvi05_01chr09g13590
GO:0002376,Vitvi05_01chr18g31290
GO:0002376,Vitvi05_01chr17g05570
GO:0002376,Vitvi05_01chr14g12570
GO:0002376,Vitvi05_01chr00g03210
GO:0002376,Vitvi05_01chr18g17320
GO:0002376,Vitvi05_01chr07g13020
GO:0002376,Vitvi05_01chr01g16690
GO:0002376,Vitvi05_01chr09g20830
GO:0002376,Vitvi05_01chr19g04680
GO:0002376,Vitvi05_01chr18g29160
GO:0002376,Vitvi05_01chr09g18040
GO:0002376,Vitvi05_01chr07g30370
GO:0002376,Vitvi05_01chr18g06790
GO:0002376,Vitvi05_01chr13g14520
GO:0002376,Vitvi05_01chr07g01370
GO:0002376,Vitvi05_01chr05g05230
GO:0002376,Vitvi05_01chr05g19050
GO:0002376,Vitvi05_01chr07g14840
GO:0002376,Vitvi05_01chr17g14250
GO:0002376,Vitvi05_01chr00g00420
GO:0002376,Vitvi05_01chr18g09390
GO:0002376,Vitvi05_01chr04g17160
GO:0002376,Vitvi05_01chr05g23980
GO:0002376,Vitvi05_01chr19g05890
GO:0002376,Vitvi05_01chr09g15130
GO:0002376,Vitvi05_01chr05g24470
GO:0002376,Vitvi05_01chr03g11890
GO:0002376,Vitvi05_01chr12g17620
GO:0002376,Vitvi05_01chr00g01840
GO:0002376,Vitvi05_01chr05g23730
GO:0002376,Vitvi05_01chr09g13610
GO:0002376,Vitvi05_01chr10g12900
GO:0002376,Vitvi05_01chr06g01440
GO:0002376,Vitvi05_01chr10g09070
GO:0002376,Vitvi05_01chr03g12100
GO:0002376,Vitvi05_01chr10g06220
GO:0002376,Vitvi05_01chr05g23710
GO:0002376,Vitvi05_01chr06g14780
GO:0002376,Vitvi05_01chr18g31300
