pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO:0002252,0.000122714443489999,0.00407304547193951,-0.429117321037007,-1.70878707739215,0,178,Vitvi05_01chr11g09020|Vitvi05_01chr05g10970|Vitvi05_01chr18g32290|Vitvi05_01chr08g01070|Vitvi05_01chr14g12080|Vitvi05_01chr11g09290|Vitvi05_01chr04g07310|Vitvi05_01chr13g13070|Vitvi05_01chr11g09350|Vitvi05_01chr13g13120|Vitvi05_01chr15g02520|Vitvi05_01chr11g06440|Vitvi05_01chr18g35140|Vitvi05_01chr09g16540|Vitvi05_01chr07g30630|Vitvi05_01chr02g15760|Vitvi05_01chr18g35640|Vitvi05_01chr18g18430|Vitvi05_01chr07g21810|Vitvi05_01chr04g02400|Vitvi05_01chr19g00920|Vitvi05_01chr10g15640|Vitvi05_01chr11g09380|Vitvi05_01chr11g02460|Vitvi05_01chr04g24180|Vitvi05_01chr17g17700|Vitvi05_01chr04g06660|Vitvi05_01chr04g21860|Vitvi05_01chr12g17050|Vitvi05_01chr11g08130|Vitvi05_01chr04g07950|Vitvi05_01chr11g02670|Vitvi05_01chr15g05800|Vitvi05_01chr06g14620|Vitvi05_01chr13g00570|Vitvi05_01chr10g06120|Vitvi05_01chr14g22110|Vitvi05_01chr09g06120|Vitvi05_01chr18g35710|Vitvi05_01chr03g01270|Vitvi05_01chr16g04460|Vitvi05_01chr18g31220|Vitvi05_01chr18g31260|Vitvi05_01chr18g31440|Vitvi05_01chr07g11090|Vitvi05_01chr02g10380|Vitvi05_01chr10g15860|Vitvi05_01chr13g20260|Vitvi05_01chr09g13590|Vitvi05_01chr18g31290|Vitvi05_01chr17g05570|Vitvi05_01chr14g12570|Vitvi05_01chr09g20830|Vitvi05_01chr09g18040|Vitvi05_01chr13g14520|Vitvi05_01chr05g19050|Vitvi05_01chr12g17620|Vitvi05_01chr09g13610|Vitvi05_01chr10g12900|Vitvi05_01chr03g12100|Vitvi05_01chr10g06220|Vitvi05_01chr18g31300|Vitvi05_01chr10g16800|Vitvi05_01chr04g19360|Vitvi05_01chr01g16920|Vitvi05_01chr13g15070|Vitvi05_01chr05g15740|Vitvi05_01chr07g16730|Vitvi05_01chr09g05490|Vitvi05_01chr07g02440|Vitvi05_01chr18g14980|Vitvi05_01chr09g14230|Vitvi05_01chr01g03880|Vitvi05_01chr13g00560|Vitvi05_01chr01g20540|Vitvi05_01chr16g08890|Vitvi05_01chr16g00070|Vitvi05_01chr12g05090|Vitvi05_01chr11g09370
GO:0002376,0.000109529025191676,0.00407304547193951,-0.416174665234648,-1.7898695652896,0,435,Vitvi05_01chr11g09020|Vitvi05_01chr12g19460|Vitvi05_01chr05g10970|Vitvi05_01chr18g32290|Vitvi05_01chr18g00280|Vitvi05_01chr17g10900|Vitvi05_01chr03g17630|Vitvi05_01chr09g05370|Vitvi05_01chr10g11490|Vitvi05_01chr08g01070|Vitvi05_01chr17g11170|Vitvi05_01chr17g10810|Vitvi05_01chr10g10170|Vitvi05_01chr05g24210|Vitvi05_01chr14g15440|Vitvi05_01chr05g26060|Vitvi05_01chr14g12080|Vitvi05_01chr12g14500|Vitvi05_01chr11g09290|Vitvi05_01chr05g23970|Vitvi05_01chr05g01580|Vitvi05_01chr10g23050|Vitvi05_01chr19g09310|Vitvi05_01chr04g07310|Vitvi05_01chr13g13070|Vitvi05_01chr14g27190|Vitvi05_01chr11g09350|Vitvi05_01chr18g00270|Vitvi05_01chr17g10850|Vitvi05_01chr13g13120|Vitvi05_01chr15g02520|Vitvi05_01chr18g07480|Vitvi05_01chr07g01480|Vitvi05_01chr11g06440|Vitvi05_01chr18g35140|Vitvi05_01chr05g15260|Vitvi05_01chr03g05680|Vitvi05_01chr10g11540|Vitvi05_01chr09g16540|Vitvi05_01chr15g13580|Vitvi05_01chr07g30630|Vitvi05_01chr02g15760|Vitvi05_01chr10g11140|Vitvi05_01chr19g18860|Vitvi05_01chr17g05400|Vitvi05_01chr07g24440|Vitvi05_01chr11g00110|Vitvi05_01chr18g16120|Vitvi05_01chr18g35640|Vitvi05_01chr11g08430|Vitvi05_01chr18g18430|Vitvi05_01chr12g15300|Vitvi05_01chr07g03740|Vitvi05_01chr16g14800|Vitvi05_01chr07g21810|Vitvi05_01chr18g01220|Vitvi05_01chr07g14760|Vitvi05_01chr04g02400|Vitvi05_01chr19g00920|Vitvi05_01chr17g10940|Vitvi05_01chr10g15640|Vitvi05_01chr07g26890|Vitvi05_01chr12g14170|Vitvi05_01chr11g09380|Vitvi05_01chr11g02460|Vitvi05_01chr03g17610|Vitvi05_01chr08g03750|Vitvi05_01chr05g24000|Vitvi05_01chr04g24180|Vitvi05_01chr17g17700|Vitvi05_01chr04g06660|Vitvi05_01chr01g21530|Vitvi05_01chr04g21860|Vitvi05_01chr04g19960|Vitvi05_01chr08g10730|Vitvi05_01chr04g09100|Vitvi05_01chr12g17050|Vitvi05_01chr11g08130|Vitvi05_01chr04g07950|Vitvi05_01chr04g09080|Vitvi05_01chr11g02670|Vitvi05_01chr15g05800|Vitvi05_01chr14g01770|Vitvi05_01chr06g14620|Vitvi05_01chr13g00570|Vitvi05_01chr05g23740|Vitvi05_01chr05g23690|Vitvi05_01chr18g05250|Vitvi05_01chr10g06120|Vitvi05_01chr14g22110|Vitvi05_01chr06g13880|Vitvi05_01chr09g06120|Vitvi05_01chr18g35710|Vitvi05_01chr07g15040|Vitvi05_01chr03g01270|Vitvi05_01chr07g01490|Vitvi05_01chr10g05410|Vitvi05_01chr07g14850|Vitvi05_01chr19g01100|Vitvi05_01chr16g18140|Vitvi05_01chr16g04460|Vitvi05_01chr09g11890|Vitvi05_01chr12g04330|Vitvi05_01chr09g15640|Vitvi05_01chr18g31220|Vitvi05_01chr18g31260|Vitvi05_01chr09g03910|Vitvi05_01chr15g10620|Vitvi05_01chr18g31440|Vitvi05_01chr07g11090|Vitvi05_01chr02g10380|Vitvi05_01chr10g15860|Vitvi05_01chr02g01420|Vitvi05_01chr13g20260|Vitvi05_01chr18g11310|Vitvi05_01chr09g13590|Vitvi05_01chr18g31290|Vitvi05_01chr17g05570|Vitvi05_01chr14g12570|Vitvi05_01chr00g03210|Vitvi05_01chr18g17320|Vitvi05_01chr07g13020|Vitvi05_01chr01g16690|Vitvi05_01chr09g20830|Vitvi05_01chr19g04680|Vitvi05_01chr18g29160|Vitvi05_01chr09g18040|Vitvi05_01chr07g30370|Vitvi05_01chr18g06790|Vitvi05_01chr13g14520|Vitvi05_01chr07g01370|Vitvi05_01chr05g05230|Vitvi05_01chr05g19050|Vitvi05_01chr07g14840|Vitvi05_01chr17g14250|Vitvi05_01chr00g00420|Vitvi05_01chr18g09390|Vitvi05_01chr04g17160|Vitvi05_01chr05g23980|Vitvi05_01chr19g05890|Vitvi05_01chr09g15130|Vitvi05_01chr05g24470|Vitvi05_01chr03g11890|Vitvi05_01chr12g17620|Vitvi05_01chr00g01840|Vitvi05_01chr05g23730|Vitvi05_01chr09g13610|Vitvi05_01chr10g12900|Vitvi05_01chr06g01440|Vitvi05_01chr10g09070|Vitvi05_01chr03g12100|Vitvi05_01chr10g06220|Vitvi05_01chr05g23710|Vitvi05_01chr06g14780|Vitvi05_01chr18g31300|Vitvi05_01chr10g16800|Vitvi05_01chr04g19360|Vitvi05_01chr05g24060|Vitvi05_01chr09g18650|Vitvi05_01chr01g16920|Vitvi05_01chr05g24110|Vitvi05_01chr13g02950|Vitvi05_01chr17g10890
GO:0003002,0.000122339124051872,0.00407304547193951,-0.511205820450059,-2.04035854626239,0,182,Vitvi05_01chr11g09020|Vitvi05_01chr09g20000|Vitvi05_01chr18g02190|Vitvi05_01chr09g10950|Vitvi05_01chr07g26300|Vitvi05_01chr09g19310|Vitvi05_01chr06g18990|Vitvi05_01chr19g22800|Vitvi05_01chr09g17640|Vitvi05_01chr13g09880|Vitvi05_01chr01g16870|Vitvi05_01chr18g13560|Vitvi05_01chr09g19530|Vitvi05_01chr09g19950|Vitvi05_01chr16g00010|Vitvi05_01chr09g19320|Vitvi05_01chr08g00150|Vitvi05_01chr06g08660|Vitvi05_01chr07g23460|Vitvi05_01chr09g19710|Vitvi05_01chr11g11710|Vitvi05_01chr09g19360|Vitvi05_01chr09g19640|Vitvi05_01chr04g11170|Vitvi05_01chr06g19930|Vitvi05_01chr04g13710|Vitvi05_01chr09g17580|Vitvi05_01chr09g13340|Vitvi05_01chr07g23510|Vitvi05_01chr07g27760|Vitvi05_01chr18g04970|Vitvi05_01chr03g18340|Vitvi05_01chr09g08660|Vitvi05_01chr09g19660|Vitvi05_01chr15g12720|Vitvi05_01chr01g25190|Vitvi05_01chr17g17700|Vitvi05_01chr01g21530|Vitvi05_01chr04g25430|Vitvi05_01chr09g17310|Vitvi05_01chr05g21300|Vitvi05_01chr03g18360|Vitvi05_01chr09g19940|Vitvi05_01chr09g17430|Vitvi05_01chr07g16170|Vitvi05_01chr09g17420|Vitvi05_01chr14g06640|Vitvi05_01chr14g22290|Vitvi05_01chr04g14420|Vitvi05_01chr14g26700|Vitvi05_01chr16g02840|Vitvi05_01chr07g07810|Vitvi05_01chr07g03420|Vitvi05_01chr15g13710|Vitvi05_01chr06g04310|Vitvi05_01chr03g18320|Vitvi05_01chr01g17480|Vitvi05_01chr14g10200|Vitvi05_01chr01g24500|Vitvi05_01chr11g12880|Vitvi05_01chr09g17280|Vitvi05_01chr06g19030|Vitvi05_01chr06g02900|Vitvi05_01chr13g05580|Vitvi05_01chr09g19520|Vitvi05_01chr14g15470|Vitvi05_01chr12g19530|Vitvi05_01chr03g04280|Vitvi05_01chr06g13610|Vitvi05_01chr10g22110|Vitvi05_01chr09g19390|Vitvi05_01chr18g00680|Vitvi05_01chr09g19340|Vitvi05_01chr09g19620|Vitvi05_01chr06g20940|Vitvi05_01chr12g01320|Vitvi05_01chr02g12600|Vitvi05_01chr04g02220|Vitvi05_01chr01g16720|Vitvi05_01chr01g03340|Vitvi05_01chr19g02580|Vitvi05_01chr01g07540|Vitvi05_01chr02g01790|Vitvi05_01chr18g06080|Vitvi05_01chr09g17350|Vitvi05_01chr17g03010
GO:0003774,0.000138504155124654,0.00407304547193951,-0.544100392103536,-1.91508955116619,0,72,Vitvi05_01chr04g02240|Vitvi05_01chr14g04090|Vitvi05_01chr07g11040|Vitvi05_01chr05g04440|Vitvi05_01chr18g17170|Vitvi05_01chr06g05760|Vitvi05_01chr03g00310|Vitvi05_01chr04g25430|Vitvi05_01chr18g36390|Vitvi05_01chr14g04100|Vitvi05_01chr08g22180|Vitvi05_01chr06g13880|Vitvi05_01chr07g25210|Vitvi05_01chr05g16600|Vitvi05_01chr05g03800|Vitvi05_01chr18g36430|Vitvi05_01chr09g02260|Vitvi05_01chr04g19850|Vitvi05_01chr03g07320|Vitvi05_01chr03g00580|Vitvi05_01chr18g11310|Vitvi05_01chr13g28730|Vitvi05_01chr05g11520|Vitvi05_01chr07g24640|Vitvi05_01chr02g06260|Vitvi05_01chr08g12190|Vitvi05_01chr08g13770|Vitvi05_01chr18g09390|Vitvi05_01chr11g04700|Vitvi05_01chr19g18130|Vitvi05_01chr08g24530|Vitvi05_01chr07g05800|Vitvi05_01chr02g04080|Vitvi05_01chr10g25400|Vitvi05_01chr16g15820|Vitvi05_01chr18g03820|Vitvi05_01chr19g11510|Vitvi05_01chr19g09790|Vitvi05_01chr19g06940
GO:0004675,0.000124486493215486,0.00407304547193951,-0.581412323023022,-2.29066187227784,0,160,Vitvi05_01chr09g20000|Vitvi05_01chr09g19310|Vitvi05_01chr14g28470|Vitvi05_01chr18g32290|Vitvi05_01chr18g00280|Vitvi05_01chr09g17640|Vitvi05_01chr08g16260|Vitvi05_01chr03g09740|Vitvi05_01chr07g23190|Vitvi05_01chr07g23150|Vitvi05_01chr09g19530|Vitvi05_01chr09g19950|Vitvi05_01chr09g19320|Vitvi05_01chr18g00270|Vitvi05_01chr09g19710|Vitvi05_01chr09g19360|Vitvi05_01chr14g28860|Vitvi05_01chr09g19640|Vitvi05_01chr07g07480|Vitvi05_01chr09g00120|Vitvi05_01chr14g28460|Vitvi05_01chr08g13840|Vitvi05_01chr11g17760|Vitvi05_01chr07g24440|Vitvi05_01chr09g17580|Vitvi05_01chr09g13340|Vitvi05_01chr12g08030|Vitvi05_01chr15g19810|Vitvi05_01chr03g02340|Vitvi05_01chr18g01220|Vitvi05_01chr12g07020|Vitvi05_01chr09g19660|Vitvi05_01chr08g15150|Vitvi05_01chr05g09230|Vitvi05_01chr10g06390|Vitvi05_01chr10g13110|Vitvi05_01chr08g10730|Vitvi05_01chr11g04600|Vitvi05_01chr02g11570|Vitvi05_01chr14g14730|Vitvi05_01chr14g00600|Vitvi05_01chr04g22330|Vitvi05_01chr09g17310|Vitvi05_01chr01g11270|Vitvi05_01chr09g02620|Vitvi05_01chr06g04090|Vitvi05_01chr09g19940|Vitvi05_01chr06g13670|Vitvi05_01chr09g17430|Vitvi05_01chr05g03880|Vitvi05_01chr09g17420|Vitvi05_01chr09g21680|Vitvi05_01chr10g13100|Vitvi05_01chr09g03910|Vitvi05_01chr08g00300|Vitvi05_01chr05g03890|Vitvi05_01chr09g17010|Vitvi05_01chr18g11650|Vitvi05_01chr04g17140|Vitvi05_01chr06g04420|Vitvi05_01chr18g17320|Vitvi05_01chr05g19940|Vitvi05_01chr18g03290|Vitvi05_01chr07g06590|Vitvi05_01chr05g05230|Vitvi05_01chr04g13450|Vitvi05_01chr03g03900|Vitvi05_01chr15g12920|Vitvi05_01chr04g17160|Vitvi05_01chr14g28490|Vitvi05_01chr18g17650
GO:0004888,0.000120322464204067,0.00407304547193951,-0.551092457321247,-2.23461434224975,0,213,Vitvi05_01chr09g20000|Vitvi05_01chr09g19310|Vitvi05_01chr14g28470|Vitvi05_01chr18g32290|Vitvi05_01chr04g10410|Vitvi05_01chr18g00280|Vitvi05_01chr04g10230|Vitvi05_01chr09g17640|Vitvi05_01chr08g16260|Vitvi05_01chr03g09740|Vitvi05_01chr07g23190|Vitvi05_01chr07g23150|Vitvi05_01chr09g19530|Vitvi05_01chr09g19950|Vitvi05_01chr03g01960|Vitvi05_01chr09g19320|Vitvi05_01chr07g15420|Vitvi05_01chr18g00270|Vitvi05_01chr09g19710|Vitvi05_01chr09g19360|Vitvi05_01chr14g28860|Vitvi05_01chr09g19640|Vitvi05_01chr07g07480|Vitvi05_01chr09g00120|Vitvi05_01chr06g21560|Vitvi05_01chr14g28460|Vitvi05_01chr08g13840|Vitvi05_01chr11g17760|Vitvi05_01chr07g24440|Vitvi05_01chr12g08420|Vitvi05_01chr09g17580|Vitvi05_01chr09g13340|Vitvi05_01chr12g08030|Vitvi05_01chr15g19810|Vitvi05_01chr03g02340|Vitvi05_01chr12g10950|Vitvi05_01chr16g14800|Vitvi05_01chr18g01220|Vitvi05_01chr12g07020|Vitvi05_01chr04g10430|Vitvi05_01chr09g19660|Vitvi05_01chr08g15150|Vitvi05_01chr05g09230|Vitvi05_01chr10g06390|Vitvi05_01chr10g13110|Vitvi05_01chr08g10730|Vitvi05_01chr10g13810|Vitvi05_01chr04g09820|Vitvi05_01chr11g04600|Vitvi05_01chr02g11570|Vitvi05_01chr14g14730|Vitvi05_01chr14g00600|Vitvi05_01chr04g22330|Vitvi05_01chr09g17310|Vitvi05_01chr01g11270|Vitvi05_01chr09g02620|Vitvi05_01chr06g04090|Vitvi05_01chr09g19940|Vitvi05_01chr06g13670|Vitvi05_01chr09g17430|Vitvi05_01chr12g08430|Vitvi05_01chr05g03880|Vitvi05_01chr09g17420|Vitvi05_01chr09g21680|Vitvi05_01chr10g13100|Vitvi05_01chr09g03910|Vitvi05_01chr08g00300|Vitvi05_01chr05g03890|Vitvi05_01chr04g10290|Vitvi05_01chr01g22990|Vitvi05_01chr09g17010|Vitvi05_01chr18g11650|Vitvi05_01chr04g17140|Vitvi05_01chr06g04420|Vitvi05_01chr18g17320|Vitvi05_01chr05g04530|Vitvi05_01chr05g19940|Vitvi05_01chr18g03290|Vitvi05_01chr07g06590|Vitvi05_01chr05g05230|Vitvi05_01chr04g13450|Vitvi05_01chr07g04910|Vitvi05_01chr07g03420|Vitvi05_01chr03g03900|Vitvi05_01chr15g12920|Vitvi05_01chr04g17160|Vitvi05_01chr14g28490|Vitvi05_01chr18g17650|Vitvi05_01chr04g10100
GO:0005516,0.000121995852141027,0.00407304547193951,-0.46059242263784,-1.8429191888592,0,187,Vitvi05_01chr07g22860|Vitvi05_01chr01g07890|Vitvi05_01chr04g23530|Vitvi05_01chr18g20380|Vitvi05_01chr04g23540|Vitvi05_01chr04g23560|Vitvi05_01chr09g05370|Vitvi05_01chr02g00730|Vitvi05_01chr19g05880|Vitvi05_01chr18g20400|Vitvi05_01chr08g23870|Vitvi05_01chr12g09680|Vitvi05_01chr13g15560|Vitvi05_01chr19g05710|Vitvi05_01chr06g08660|Vitvi05_01chr07g01480|Vitvi05_01chr09g19190|Vitvi05_01chr12g02390|Vitvi05_01chr03g04410|Vitvi05_01chr18g19070|Vitvi05_01chr12g02410|Vitvi05_01chr18g11240|Vitvi05_01chr07g14760|Vitvi05_01chr19g05790|Vitvi05_01chr08g02190|Vitvi05_01chr19g13990|Vitvi05_01chr19g05740|Vitvi05_01chr04g25430|Vitvi05_01chr17g00530|Vitvi05_01chr17g07830|Vitvi05_01chr14g01770|Vitvi05_01chr04g20320|Vitvi05_01chr11g09320|Vitvi05_01chr10g06120|Vitvi05_01chr07g26390|Vitvi05_01chr19g08410|Vitvi05_01chr07g15040|Vitvi05_01chr19g05670|Vitvi05_01chr07g32290|Vitvi05_01chr07g01490|Vitvi05_01chr12g03250|Vitvi05_01chr07g14850|Vitvi05_01chr05g01460|Vitvi05_01chr16g17440|Vitvi05_01chr08g08250|Vitvi05_01chr10g06260|Vitvi05_01chr19g05860|Vitvi05_01chr04g23620|Vitvi05_01chr01g16690|Vitvi05_01chr14g07690|Vitvi05_01chr10g06480|Vitvi05_01chr19g05910|Vitvi05_01chr08g05730|Vitvi05_01chr19g05780|Vitvi05_01chr11g05660|Vitvi05_01chr03g07550|Vitvi05_01chr07g01370|Vitvi05_01chr11g09310|Vitvi05_01chr10g01670|Vitvi05_01chr12g02380|Vitvi05_01chr07g14840|Vitvi05_01chr09g07350|Vitvi05_01chr19g05890|Vitvi05_01chr08g00090|Vitvi05_01chr19g13980|Vitvi05_01chr02g14780|Vitvi05_01chr10g06220|Vitvi05_01chr19g05900
GO:0005543,0.000138083402375035,0.00407304547193951,-0.542983840228108,-1.9187713256357,0,74,Vitvi05_01chr09g08320|Vitvi05_01chr10g04180|Vitvi05_01chr13g09880|Vitvi05_01chr12g15970|Vitvi05_01chr13g10190|Vitvi05_01chr03g05930|Vitvi05_01chr03g06990|Vitvi05_01chr07g07640|Vitvi05_01chr15g13580|Vitvi05_01chr10g05600|Vitvi05_01chr06g19930|Vitvi05_01chr16g22210|Vitvi05_01chr17g00390|Vitvi05_01chr18g04970|Vitvi05_01chr03g08590|Vitvi05_01chr16g14800|Vitvi05_01chr01g06100|Vitvi05_01chr09g00340|Vitvi05_01chr13g01580|Vitvi05_01chr15g10710|Vitvi05_01chr18g19040|Vitvi05_01chr05g21300|Vitvi05_01chr18g13370|Vitvi05_01chr11g00390
GO:0005635,0.0001312163758037,0.00407304547193951,-0.477368011271508,-1.79493151983706,0,111,Vitvi05_01chr08g09630|Vitvi05_01chr04g02240|Vitvi05_01chr08g10980|Vitvi05_01chr01g07940|Vitvi05_01chr13g09210|Vitvi05_01chr09g14790|Vitvi05_01chr04g07370|Vitvi05_01chr14g21570|Vitvi05_01chr05g01170|Vitvi05_01chr16g21920|Vitvi05_01chr13g16800|Vitvi05_01chr18g02340|Vitvi05_01chr17g00020|Vitvi05_01chr18g01250|Vitvi05_01chr15g10710|Vitvi05_01chr01g07450|Vitvi05_01chr01g22370|Vitvi05_01chr05g20560|Vitvi05_01chr06g00250|Vitvi05_01chr06g00880|Vitvi05_01chr10g14880|Vitvi05_01chr02g03650|Vitvi05_01chr14g25710|Vitvi05_01chr08g06140|Vitvi05_01chr14g21390|Vitvi05_01chr08g08820|Vitvi05_01chr03g02790|Vitvi05_01chr17g11090|Vitvi05_01chr11g06420|Vitvi05_01chr09g11890|Vitvi05_01chr19g11090|Vitvi05_01chr04g03870|Vitvi05_01chr12g10750|Vitvi05_01chr06g12640|Vitvi05_01chr14g26450|Vitvi05_01chr03g04080|Vitvi05_01chr11g07440|Vitvi05_01chr11g08920|Vitvi05_01chr04g25030|Vitvi05_01chr14g00260|Vitvi05_01chr07g06030|Vitvi05_01chr11g03570|Vitvi05_01chr06g07370|Vitvi05_01chr09g01190|Vitvi05_01chr10g08520|Vitvi05_01chr07g21780|Vitvi05_01chr12g19330|Vitvi05_01chr18g13340
GO:0005768,0.000117591721542803,0.00407304547193951,-0.420914990858757,-1.73361198308445,0,249,Vitvi05_01chr09g20000|Vitvi05_01chr11g08210|Vitvi05_01chr09g19310|Vitvi05_01chr14g28470|Vitvi05_01chr09g17640|Vitvi05_01chr15g19940|Vitvi05_01chr14g28090|Vitvi05_01chr02g12360|Vitvi05_01chr09g19530|Vitvi05_01chr08g24240|Vitvi05_01chr09g19950|Vitvi05_01chr09g20010|Vitvi05_01chr09g19320|Vitvi05_01chr06g00800|Vitvi05_01chr19g09310|Vitvi05_01chr09g19710|Vitvi05_01chr09g19360|Vitvi05_01chr14g28860|Vitvi05_01chr09g19640|Vitvi05_01chr03g06990|Vitvi05_01chr15g14540|Vitvi05_01chr10g05600|Vitvi05_01chr14g28460|Vitvi05_01chr06g21300|Vitvi05_01chr07g16060|Vitvi05_01chr11g00110|Vitvi05_01chr13g03170|Vitvi05_01chr02g17580|Vitvi05_01chr09g17580|Vitvi05_01chr09g13340|Vitvi05_01chr18g18430|Vitvi05_01chr12g01230|Vitvi05_01chr09g19660|Vitvi05_01chr15g00390|Vitvi05_01chr07g05250|Vitvi05_01chr09g20710|Vitvi05_01chr13g26480|Vitvi05_01chr10g13540|Vitvi05_01chr01g06100|Vitvi05_01chr09g00340|Vitvi05_01chr10g13110|Vitvi05_01chr18g09600|Vitvi05_01chr13g01580|Vitvi05_01chr07g20780|Vitvi05_01chr05g11220|Vitvi05_01chr17g08460|Vitvi05_01chr02g12990|Vitvi05_01chr10g15760|Vitvi05_01chr15g13070|Vitvi05_01chr16g02250|Vitvi05_01chr14g10350|Vitvi05_01chr09g17310|Vitvi05_01chr04g24910|Vitvi05_01chr06g04090|Vitvi05_01chr09g19940|Vitvi05_01chr11g00390|Vitvi05_01chr02g03030|Vitvi05_01chr09g17430|Vitvi05_01chr02g19220|Vitvi05_01chr10g05410|Vitvi05_01chr09g19810|Vitvi05_01chr09g19180|Vitvi05_01chr14g06940|Vitvi05_01chr08g15900|Vitvi05_01chr04g20890|Vitvi05_01chr09g17420|Vitvi05_01chr11g00470|Vitvi05_01chr11g03620|Vitvi05_01chr10g13100|Vitvi05_01chr04g06420|Vitvi05_01chr08g08250|Vitvi05_01chr13g20530|Vitvi05_01chr15g12950|Vitvi05_01chr09g00580|Vitvi05_01chr06g10010|Vitvi05_01chr18g23710|Vitvi05_01chr01g05700|Vitvi05_01chr01g14980|Vitvi05_01chr07g11020|Vitvi05_01chr15g01820|Vitvi05_01chr01g14630|Vitvi05_01chr07g17070|Vitvi05_01chr12g10200|Vitvi05_01chr01g01970|Vitvi05_01chr02g10750|Vitvi05_01chr18g17300|Vitvi05_01chr11g03570|Vitvi05_01chr14g28490|Vitvi05_01chr13g00170|Vitvi05_01chr12g16860|Vitvi05_01chr08g07810|Vitvi05_01chr14g09000|Vitvi05_01chr17g13460|Vitvi05_01chr09g17280|Vitvi05_01chr04g19360|Vitvi05_01chr13g13690|Vitvi05_01chr09g19520|Vitvi05_01chr04g17410|Vitvi05_01chr18g20870|Vitvi05_01chr08g12570|Vitvi05_01chr13g05370|Vitvi05_01chr05g17990|Vitvi05_01chr18g13340|Vitvi05_01chr14g00700|Vitvi05_01chr15g14600|Vitvi05_01chr09g19390|Vitvi05_01chr18g14350|Vitvi05_01chr18g13890|Vitvi05_01chr09g19340|Vitvi05_01chr10g25400|Vitvi05_01chr17g08570|Vitvi05_01chr15g13760
