GO_MF,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO_MF:cytoskeletal_motor_activity,GO:0003774,0.000305950741930549,0.012337953069988,-0.509820236729188,-1.92273924784812,1,71,Vitvi05_01chr08g24530|Vitvi05_01chr18g09390|Vitvi05_01chr17g05990|Vitvi05_01chr05g11520|Vitvi05_01chr05g16600|Vitvi05_01chr16g15820|Vitvi05_01chr18g07760|Vitvi05_01chr08g17330|Vitvi05_01chr08g13770|Vitvi05_01chr14g04100|Vitvi05_01chr06g13880|Vitvi05_01chr14g04090|Vitvi05_01chr11g00490|Vitvi05_01chr10g05360|Vitvi05_01chr08g12190|Vitvi05_01chr19g09790|Vitvi05_01chr07g05800|Vitvi05_01chr19g11510|Vitvi05_01chr18g36430|Vitvi05_01chr03g07320|Vitvi05_01chr05g03800|Vitvi05_01chr19g06940|Vitvi05_01chr18g36390|Vitvi05_01chr18g17170|Vitvi05_01chr07g24640
GO_MF:microtubule_motor_activity,GO:0003777,0.000156617071260767,0.012337953069988,-0.572272369712711,-2.09025207832794,0,60,Vitvi05_01chr08g24530|Vitvi05_01chr18g09390|Vitvi05_01chr17g05990|Vitvi05_01chr05g11520|Vitvi05_01chr05g16600|Vitvi05_01chr16g15820|Vitvi05_01chr18g07760|Vitvi05_01chr08g17330|Vitvi05_01chr08g13770|Vitvi05_01chr14g04100|Vitvi05_01chr06g13880|Vitvi05_01chr14g04090|Vitvi05_01chr11g00490|Vitvi05_01chr10g05360|Vitvi05_01chr08g12190|Vitvi05_01chr19g09790|Vitvi05_01chr07g05800|Vitvi05_01chr19g11510|Vitvi05_01chr18g36430|Vitvi05_01chr03g07320|Vitvi05_01chr05g03800|Vitvi05_01chr19g06940|Vitvi05_01chr18g36390|Vitvi05_01chr18g17170|Vitvi05_01chr07g24640
GO_MF:calmodulin_binding,GO:0005516,0.000138274336283186,0.012337953069988,-0.396776049362511,-1.71927340984003,0,183,Vitvi05_01chr19g05880|Vitvi05_01chr04g23560|Vitvi05_01chr04g23540|Vitvi05_01chr07g01480|Vitvi05_01chr18g19070|Vitvi05_01chr19g05710|Vitvi05_01chr09g05370|Vitvi05_01chr19g08410|Vitvi05_01chr08g02190|Vitvi05_01chr18g02400|Vitvi05_01chr09g11630|Vitvi05_01chr11g09310|Vitvi05_01chr08g08250|Vitvi05_01chr01g07890|Vitvi05_01chr12g02410|Vitvi05_01chr04g23530|Vitvi05_01chr19g05670|Vitvi05_01chr12g02390|Vitvi05_01chr06g02200|Vitvi05_01chr10g06120|Vitvi05_01chr10g25770|Vitvi05_01chr07g22860|Vitvi05_01chr11g12290|Vitvi05_01chr02g00730|Vitvi05_01chr16g17440|Vitvi05_01chr19g05740|Vitvi05_01chr01g18810|Vitvi05_01chr07g14760|Vitvi05_01chr07g01370|Vitvi05_01chr05g10960|Vitvi05_01chr19g05790|Vitvi05_01chr04g15580|Vitvi05_01chr11g09320|Vitvi05_01chr12g03250|Vitvi05_01chr16g17390|Vitvi05_01chr06g08660|Vitvi05_01chr08g05730|Vitvi05_01chr19g13980|Vitvi05_01chr12g04810|Vitvi05_01chr19g05900|Vitvi05_01chr14g01770|Vitvi05_01chr12g02380|Vitvi05_01chr19g05780|Vitvi05_01chr18g20380|Vitvi05_01chr07g01360|Vitvi05_01chr08g23870|Vitvi05_01chr14g09270|Vitvi05_01chr14g24620|Vitvi05_01chr10g06260|Vitvi05_01chr07g01570|Vitvi05_01chr07g01620|Vitvi05_01chr04g24200|Vitvi05_01chr07g01490|Vitvi05_01chr19g17960|Vitvi05_01chr07g14840|Vitvi05_01chr19g13990
GO_CC:cell_wall,GO:0005618,0.00013111315064901,0.012337953069988,-0.446063156520273,-2.00806368692325,0,259,Vitvi05_01chr18g23950|Vitvi05_01chr10g02130|Vitvi05_01chr09g02750|Vitvi05_01chr10g17390|Vitvi05_01chr18g07480|Vitvi05_01chr09g01080|Vitvi05_01chr04g11930|Vitvi05_01chr07g26800|Vitvi05_01chr05g01580|Vitvi05_01chr17g17710|Vitvi05_01chr07g27480|Vitvi05_01chr03g00190|Vitvi05_01chr05g06470|Vitvi05_01chr03g00220|Vitvi05_01chr08g23110|Vitvi05_01chr07g03060|Vitvi05_01chr14g20610|Vitvi05_01chr08g08250|Vitvi05_01chr09g08500|Vitvi05_01chr14g00300|Vitvi05_01chr08g01620|Vitvi05_01chr01g15290|Vitvi05_01chr10g01650|Vitvi05_01chr10g00490|Vitvi05_01chr17g01710|Vitvi05_01chr17g14250|Vitvi05_01chr13g08330|Vitvi05_01chr08g08920|Vitvi05_01chr12g07510|Vitvi05_01chr18g17340|Vitvi05_01chr15g13650|Vitvi05_01chr17g09330|Vitvi05_01chr14g00790|Vitvi05_01chr14g20640|Vitvi05_01chr14g20620|Vitvi05_01chr09g14840|Vitvi05_01chr01g10920|Vitvi05_01chr12g08310|Vitvi05_01chr09g01090|Vitvi05_01chr18g25990|Vitvi05_01chr15g16610|Vitvi05_01chr03g18540|Vitvi05_01chr19g08470|Vitvi05_01chr02g07160|Vitvi05_01chr11g06110|Vitvi05_01chr02g07790|Vitvi05_01chr15g13540|Vitvi05_01chr15g19410|Vitvi05_01chr01g05990|Vitvi05_01chr08g13030|Vitvi05_01chr09g04940|Vitvi05_01chr11g04370|Vitvi05_01chr03g18630|Vitvi05_01chr12g23010|Vitvi05_01chr17g00020|Vitvi05_01chr02g07150|Vitvi05_01chr14g20570|Vitvi05_01chr07g20580|Vitvi05_01chr18g31980|Vitvi05_01chr17g16960|Vitvi05_01chr10g10800|Vitvi05_01chr12g21620|Vitvi05_01chr06g00680|Vitvi05_01chr14g20630|Vitvi05_01chr14g22100|Vitvi05_01chr04g01250|Vitvi05_01chr19g04070|Vitvi05_01chr05g00290|Vitvi05_01chr12g00150|Vitvi05_01chr14g30330|Vitvi05_01chr14g21570|Vitvi05_01chr08g17290|Vitvi05_01chr08g23950|Vitvi05_01chr00g00420|Vitvi05_01chr00g03210|Vitvi05_01chr19g10700|Vitvi05_01chr19g09630|Vitvi05_01chr10g09370|Vitvi05_01chr18g03920|Vitvi05_01chr10g03100|Vitvi05_01chr01g04250|Vitvi05_01chr01g24400|Vitvi05_01chr12g14500|Vitvi05_01chr04g04440|Vitvi05_01chr07g02080|Vitvi05_01chr13g02680|Vitvi05_01chr10g03090|Vitvi05_01chr10g14110|Vitvi05_01chr17g03010|Vitvi05_01chr05g08110|Vitvi05_01chr01g09640|Vitvi05_01chr11g01060|Vitvi05_01chr05g07360
GO_CC:peroxisome,GO:0005777,0.00032916392363397,0.012337953069988,0.384129489845612,1.75083840220318,0,125,Vitvi05_01chr19g16950|Vitvi05_01chr03g02460|Vitvi05_01chr07g05120|Vitvi05_01chr10g14460|Vitvi05_01chr06g18540|Vitvi05_01chr03g02260|Vitvi05_01chr15g14490|Vitvi05_01chr07g18460|Vitvi05_01chr16g09930|Vitvi05_01chr14g26530|Vitvi05_01chr04g16690|Vitvi05_01chr07g05140|Vitvi05_01chr05g14350|Vitvi05_01chr01g10110|Vitvi05_01chr04g13550|Vitvi05_01chr09g04730|Vitvi05_01chr09g01260|Vitvi05_01chr14g01010|Vitvi05_01chr13g14720|Vitvi05_01chr14g07190|Vitvi05_01chr05g10130|Vitvi05_01chr07g05160|Vitvi05_01chr09g17920|Vitvi05_01chr05g00450|Vitvi05_01chr05g00460|Vitvi05_01chr02g13570|Vitvi05_01chr10g02620|Vitvi05_01chr08g22670|Vitvi05_01chr19g01270|Vitvi05_01chr05g10150|Vitvi05_01chr06g19380|Vitvi05_01chr05g01420|Vitvi05_01chr11g04410|Vitvi05_01chr07g05150|Vitvi05_01chr14g07160|Vitvi05_01chr07g04750|Vitvi05_01chr10g08700|Vitvi05_01chr05g26100
GO_CC:kinesin_complex,GO:0005871,0.000156617071260767,0.012337953069988,-0.572272369712711,-2.09025207832794,0,60,Vitvi05_01chr08g24530|Vitvi05_01chr18g09390|Vitvi05_01chr17g05990|Vitvi05_01chr05g11520|Vitvi05_01chr05g16600|Vitvi05_01chr16g15820|Vitvi05_01chr18g07760|Vitvi05_01chr08g17330|Vitvi05_01chr08g13770|Vitvi05_01chr14g04100|Vitvi05_01chr06g13880|Vitvi05_01chr14g04090|Vitvi05_01chr11g00490|Vitvi05_01chr10g05360|Vitvi05_01chr08g12190|Vitvi05_01chr19g09790|Vitvi05_01chr07g05800|Vitvi05_01chr19g11510|Vitvi05_01chr18g36430|Vitvi05_01chr03g07320|Vitvi05_01chr05g03800|Vitvi05_01chr19g06940|Vitvi05_01chr18g36390|Vitvi05_01chr18g17170|Vitvi05_01chr07g24640
GO_CC:microtubule_associated_complex,GO:0005875,0.000154035736290819,0.012337953069988,-0.561325220266676,-2.10491868574631,0,69,Vitvi05_01chr08g24530|Vitvi05_01chr18g09390|Vitvi05_01chr17g05990|Vitvi05_01chr04g00570|Vitvi05_01chr05g11520|Vitvi05_01chr05g16600|Vitvi05_01chr15g14270|Vitvi05_01chr16g15820|Vitvi05_01chr18g07760|Vitvi05_01chr08g17330|Vitvi05_01chr09g05010|Vitvi05_01chr08g13770|Vitvi05_01chr14g04100|Vitvi05_01chr06g13880|Vitvi05_01chr14g04090|Vitvi05_01chr11g00490|Vitvi05_01chr10g05360|Vitvi05_01chr08g12190|Vitvi05_01chr19g09790|Vitvi05_01chr07g05800|Vitvi05_01chr19g11510|Vitvi05_01chr18g36430|Vitvi05_01chr03g07320|Vitvi05_01chr05g03800|Vitvi05_01chr19g06940|Vitvi05_01chr18g36390|Vitvi05_01chr18g17170|Vitvi05_01chr07g24640
GO_BP:isoprenoid_metabolic_process,GO:0006720,0.000335795836131632,0.012337953069988,0.41222952501292,1.8942109823663,0,133,Vitvi05_01chr10g05730|Vitvi05_01chr10g05870|Vitvi05_01chr10g05890|Vitvi05_01chr06g09490|Vitvi05_01chr04g14920|Vitvi05_01chr15g19240|Vitvi05_01chr07g28260|Vitvi05_01chr11g06550|Vitvi05_01chr13g26400|Vitvi05_01chr04g17320|Vitvi05_01chr18g32850|Vitvi05_01chr17g11850|Vitvi05_01chr08g20680|Vitvi05_01chr13g26300|Vitvi05_01chr18g13760|Vitvi05_01chr09g00080|Vitvi05_01chr10g10490|Vitvi05_01chr04g16480|Vitvi05_01chr10g02520|Vitvi05_01chr01g17140|Vitvi05_01chr04g04170|Vitvi05_01chr13g23670|Vitvi05_01chr18g32860|Vitvi05_01chr18g12910|Vitvi05_01chr15g13770|Vitvi05_01chr12g09080|Vitvi05_01chr14g06760|Vitvi05_01chr14g07550|Vitvi05_01chr02g13570|Vitvi05_01chr10g02620|Vitvi05_01chr10g05660|Vitvi05_01chr10g05620|Vitvi05_01chr17g00680|Vitvi05_01chr09g06410|Vitvi05_01chr17g03270|Vitvi05_01chr09g06370|Vitvi05_01chr03g06200|Vitvi05_01chr03g07070|Vitvi05_01chr01g04610|Vitvi05_01chr17g04670|Vitvi05_01chr14g29640|Vitvi05_01chr05g20440|Vitvi05_01chr14g11020
GO_BP:terpenoid_metabolic_process,GO:0006721,0.000309789343246592,0.012337953069988,0.417827405544524,1.85870991571963,0,107,Vitvi05_01chr10g05730|Vitvi05_01chr10g05870|Vitvi05_01chr10g05890|Vitvi05_01chr04g14920|Vitvi05_01chr15g19240|Vitvi05_01chr07g28260|Vitvi05_01chr11g06550|Vitvi05_01chr13g26400|Vitvi05_01chr18g32850|Vitvi05_01chr17g11850|Vitvi05_01chr08g20680|Vitvi05_01chr13g26300|Vitvi05_01chr09g00080|Vitvi05_01chr10g10490|Vitvi05_01chr10g02520|Vitvi05_01chr01g17140|Vitvi05_01chr04g04170|Vitvi05_01chr13g23670|Vitvi05_01chr18g32860|Vitvi05_01chr18g12910|Vitvi05_01chr15g13770|Vitvi05_01chr12g09080|Vitvi05_01chr14g06760|Vitvi05_01chr14g07550|Vitvi05_01chr10g02620|Vitvi05_01chr10g05660|Vitvi05_01chr10g05620|Vitvi05_01chr17g00680|Vitvi05_01chr09g06410|Vitvi05_01chr17g03270|Vitvi05_01chr09g06370
GO_BP:porphyrin-containing_compound_metabolic_process,GO:0006778,0.000258131130614352,0.012337953069988,0.63655354024693,2.32512782839194,0,40,Vitvi05_01chr04g14920|Vitvi05_01chr06g09640|Vitvi05_01chr14g24230|Vitvi05_01chr11g06550|Vitvi05_01chr05g13400|Vitvi05_01chr07g32090|Vitvi05_01chr04g02910|Vitvi05_01chr05g05330|Vitvi05_01chr14g26200|Vitvi05_01chr04g04170|Vitvi05_01chr18g04020|Vitvi05_01chr05g22740|Vitvi05_01chr08g08960|Vitvi05_01chr07g01540|Vitvi05_01chr06g19830|Vitvi05_01chr05g04830|Vitvi05_01chr13g24680|Vitvi05_01chr18g08640|Vitvi05_01chr18g12620|Vitvi05_01chr10g09710|Vitvi05_01chr01g17950
