pathway,gene
GO:0000226,Vitvi05_01chr17g00530
GO:0000226,Vitvi05_01chr06g05760
GO:0000226,Vitvi05_01chr05g05530
GO:0000226,Vitvi05_01chr02g07740
GO:0000226,Vitvi05_01chr19g09300
GO:0000226,Vitvi05_01chr06g13770
GO:0000226,Vitvi05_01chr04g19850
GO:0000226,Vitvi05_01chr05g09620
GO:0000226,Vitvi05_01chr07g25210
GO:0000226,Vitvi05_01chr18g24350
GO:0000226,Vitvi05_01chr07g29020
GO:0000226,Vitvi05_01chr18g13710
GO:0000226,Vitvi05_01chr16g15940
GO:0000226,Vitvi05_01chr18g17170
GO:0000226,Vitvi05_01chr18g16320
GO:0000226,Vitvi05_01chr04g25430
GO:0000226,Vitvi05_01chr14g04120
GO:0000226,Vitvi05_01chr15g19080
GO:0000226,Vitvi05_01chr07g29910
GO:0000226,Vitvi05_01chr18g11310
GO:0000226,Vitvi05_01chr10g07800
GO:0000226,Vitvi05_01chr11g04700
GO:0000226,Vitvi05_01chr05g16600
GO:0000226,Vitvi05_01chr13g07720
GO:0000226,Vitvi05_01chr15g18800
GO:0000226,Vitvi05_01chr14g24590
GO:0000226,Vitvi05_01chr10g24550
GO:0000226,Vitvi05_01chr07g11470
GO:0000226,Vitvi05_01chr03g04980
GO:0000226,Vitvi05_01chr06g17960
GO:0000226,Vitvi05_01chr08g22070
GO:0000226,Vitvi05_01chr05g04440
GO:0000226,Vitvi05_01chr16g11840
GO:0000226,Vitvi05_01chr16g21920
GO:0000226,Vitvi05_01chr15g12590
GO:0000226,Vitvi05_01chr08g20200
GO:0000226,Vitvi05_01chr07g03380
GO:0000226,Vitvi05_01chr07g05410
GO:0000226,Vitvi05_01chr14g05420
GO:0000226,Vitvi05_01chr17g03470
GO:0000226,Vitvi05_01chr15g12230
GO:0000271,Vitvi05_01chr18g13560
GO:0000271,Vitvi05_01chr07g17070
GO:0000271,Vitvi05_01chr08g24240
GO:0000271,Vitvi05_01chr17g09260
GO:0000271,Vitvi05_01chr13g26480
GO:0000271,Vitvi05_01chr04g04190
GO:0000271,Vitvi05_01chr09g19180
GO:0000271,Vitvi05_01chr08g21990
GO:0000271,Vitvi05_01chr05g20760
GO:0000271,Vitvi05_01chr01g13140
GO:0000271,Vitvi05_01chr18g24350
GO:0000271,Vitvi05_01chr07g29020
GO:0000271,Vitvi05_01chr18g03780
GO:0000271,Vitvi05_01chr03g04750
GO:0000271,Vitvi05_01chr04g17230
GO:0000271,Vitvi05_01chr07g10220
GO:0000271,Vitvi05_01chr08g05930
GO:0000271,Vitvi05_01chr16g00670
GO:0000271,Vitvi05_01chr14g30180
GO:0000271,Vitvi05_01chr18g00190
GO:0000271,Vitvi05_01chr07g26130
GO:0000271,Vitvi05_01chr04g06420
GO:0000271,Vitvi05_01chr10g10800
GO:0000271,Vitvi05_01chr01g15300
GO:0000271,Vitvi05_01chr15g18320
GO:0000271,Vitvi05_01chr13g00830
GO:0000271,Vitvi05_01chr19g06990
GO:0000271,Vitvi05_01chr18g14850
GO:0000271,Vitvi05_01chr11g10570
GO:0000271,Vitvi05_01chr02g19220
GO:0000271,Vitvi05_01chr18g18430
GO:0000271,Vitvi05_01chr13g05450
GO:0000271,Vitvi05_01chr15g15440
GO:0000271,Vitvi05_01chr04g23880
GO:0000271,Vitvi05_01chr07g27610
GO:0000271,Vitvi05_01chr13g08920
GO:0000271,Vitvi05_01chr05g18030
GO:0000271,Vitvi05_01chr02g07870
GO:0000271,Vitvi05_01chr18g00340
GO:0000271,Vitvi05_01chr05g21180
GO:0000902,Vitvi05_01chr08g22230
GO:0000902,Vitvi05_01chr01g25010
GO:0000902,Vitvi05_01chr02g07150
GO:0000902,Vitvi05_01chr14g28130
GO:0000902,Vitvi05_01chr06g05760
GO:0000902,Vitvi05_01chr01g06250
GO:0000902,Vitvi05_01chr02g03760
GO:0000902,Vitvi05_01chr15g12360
GO:0000902,Vitvi05_01chr19g13650
GO:0000902,Vitvi05_01chr14g28850
GO:0000902,Vitvi05_01chr18g16840
GO:0000902,Vitvi05_01chr05g09620
GO:0000902,Vitvi05_01chr18g03780
GO:0000902,Vitvi05_01chr16g00670
GO:0000902,Vitvi05_01chr14g30180
GO:0000902,Vitvi05_01chr18g16320
GO:0000902,Vitvi05_01chr19g07940
GO:0000902,Vitvi05_01chr03g03920
GO:0000902,Vitvi05_01chr18g17290
GO:0000902,Vitvi05_01chr04g25430
GO:0000902,Vitvi05_01chr14g27050
GO:0000902,Vitvi05_01chr04g19980
GO:0000902,Vitvi05_01chr04g18020
GO:0000902,Vitvi05_01chr17g17840
GO:0000902,Vitvi05_01chr18g07420
GO:0000902,Vitvi05_01chr19g09630
