pathway,gene
GO:0005507,Vitvi05_01chr16g03410
GO:0005507,Vitvi05_01chr01g06480
GO:0005507,Vitvi05_01chr06g19790
GO:0005507,Vitvi05_01chr19g22220
GO:0005507,Vitvi05_01chr02g05990
GO:0005507,Vitvi05_01chr08g10380
GO:0005507,Vitvi05_01chr06g16720
GO:0005507,Vitvi05_01chr18g01780
GO:0005507,Vitvi05_01chr18g34020
GO:0005507,Vitvi05_01chr14g06490
GO:0005507,Vitvi05_01chr14g06000
GO:0005507,Vitvi05_01chr19g09240
GO:0005507,Vitvi05_01chr03g02380
GO:0005507,Vitvi05_01chr05g16670
GO:0005507,Vitvi05_01chr12g01440
GO:0005507,Vitvi05_01chr08g19740
GO:0005507,Vitvi05_01chr12g01430
GO:0005507,Vitvi05_01chr14g06180
GO:0005507,Vitvi05_01chr02g03410
GO:0005507,Vitvi05_01chr05g13810
GO:0005507,Vitvi05_01chr13g26630
GO:0005507,Vitvi05_01chr06g21770
GO:0005507,Vitvi05_01chr09g11380
GO:0005507,Vitvi05_01chr18g31980
GO:0005507,Vitvi05_01chr13g08500
GO:0005507,Vitvi05_01chr16g03430
GO:0005507,Vitvi05_01chr18g00460
GO:0005507,Vitvi05_01chr13g03120
GO:0005507,Vitvi05_01chr06g03510
GO:0005507,Vitvi05_01chr18g17340
GO:0005507,Vitvi05_01chr08g18410
GO:0005507,Vitvi05_01chr08g18230
GO:0005507,Vitvi05_01chr06g07160
GO:0005507,Vitvi05_01chr13g03340
GO:0005507,Vitvi05_01chr08g07960
GO:0005507,Vitvi05_01chr13g03100
GO:0005507,Vitvi05_01chr13g08430
GO:0005507,Vitvi05_01chr12g02580
GO:0005507,Vitvi05_01chr11g06110
GO:0005507,Vitvi05_01chr11g11790
GO:0005507,Vitvi05_01chr17g15130
GO:0005507,Vitvi05_01chr13g07550
GO:0005507,Vitvi05_01chr01g21230
GO:0005507,Vitvi05_01chr05g03470
GO:0005507,Vitvi05_01chr17g16960
GO:0005507,Vitvi05_01chr12g21620
GO:0005507,Vitvi05_01chr07g09720
GO:0005507,Vitvi05_01chr11g04410
GO:0005507,Vitvi05_01chr18g07360
GO:0005507,Vitvi05_01chr12g03290
GO:0005507,Vitvi05_01chr05g14520
GO:0006417,Vitvi05_01chr00g00010
GO:0006417,Vitvi05_01chr00g00170
GO:0006417,Vitvi05_01chr00g01860
GO:0006417,Vitvi05_01chr01g04170
GO:0006417,Vitvi05_01chr00g03070
GO:0006417,Vitvi05_01chr15g12230
GO:0006450,Vitvi05_01chr00g00010
GO:0006450,Vitvi05_01chr00g00170
GO:0006450,Vitvi05_01chr00g01860
GO:0006450,Vitvi05_01chr01g04170
GO:0006450,Vitvi05_01chr00g03070
GO:0006888,Vitvi05_01chr07g19440
GO:0006888,Vitvi05_01chr15g09280
GO:0006888,Vitvi05_01chr07g01360
GO:0006888,Vitvi05_01chr14g24240
GO:0006888,Vitvi05_01chr07g01570
GO:0006888,Vitvi05_01chr13g16590
GO:0006888,Vitvi05_01chr11g12290
GO:0006888,Vitvi05_01chr07g01520
GO:0006888,Vitvi05_01chr07g01490
GO:0006888,Vitvi05_01chr04g15580
GO:0006888,Vitvi05_01chr07g01370
GO:0006888,Vitvi05_01chr09g11630
GO:0006888,Vitvi05_01chr07g01340
GO:0006888,Vitvi05_01chr18g04340
GO:0006888,Vitvi05_01chr04g05180
GO:0006901,Vitvi05_01chr07g19440
GO:0006901,Vitvi05_01chr15g09280
GO:0006901,Vitvi05_01chr07g01360
GO:0006901,Vitvi05_01chr07g01570
GO:0006901,Vitvi05_01chr13g16590
GO:0006901,Vitvi05_01chr11g12290
GO:0006901,Vitvi05_01chr07g01520
GO:0006901,Vitvi05_01chr07g01490
GO:0006901,Vitvi05_01chr04g15580
GO:0006901,Vitvi05_01chr07g01370
GO:0006901,Vitvi05_01chr09g11630
GO:0006901,Vitvi05_01chr07g01340
GO:0006901,Vitvi05_01chr18g04340
GO:0006903,Vitvi05_01chr07g19440
GO:0006903,Vitvi05_01chr15g09280
GO:0006903,Vitvi05_01chr07g01360
GO:0006903,Vitvi05_01chr07g01570
GO:0006903,Vitvi05_01chr13g16590
GO:0006903,Vitvi05_01chr11g12290
