GO_MF,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO_MF:copper_ion_binding,GO:0005507,0.00033255736614566,0.0274657534246575,0.493094651429914,1.76924957042514,0,84,Vitvi05_01chr16g03410|Vitvi05_01chr01g06480|Vitvi05_01chr06g19790|Vitvi05_01chr19g22220|Vitvi05_01chr02g05990|Vitvi05_01chr08g10380|Vitvi05_01chr06g16720|Vitvi05_01chr18g01780|Vitvi05_01chr18g34020|Vitvi05_01chr14g06490|Vitvi05_01chr14g06000|Vitvi05_01chr19g09240|Vitvi05_01chr03g02380|Vitvi05_01chr05g16670|Vitvi05_01chr12g01440|Vitvi05_01chr08g19740|Vitvi05_01chr12g01430|Vitvi05_01chr14g06180|Vitvi05_01chr02g03410|Vitvi05_01chr05g13810|Vitvi05_01chr13g26630|Vitvi05_01chr06g21770|Vitvi05_01chr09g11380|Vitvi05_01chr18g31980|Vitvi05_01chr13g08500|Vitvi05_01chr16g03430|Vitvi05_01chr18g00460|Vitvi05_01chr13g03120|Vitvi05_01chr06g03510|Vitvi05_01chr18g17340|Vitvi05_01chr08g18410|Vitvi05_01chr08g18230|Vitvi05_01chr06g07160|Vitvi05_01chr13g03340|Vitvi05_01chr08g07960|Vitvi05_01chr13g03100|Vitvi05_01chr13g08430|Vitvi05_01chr12g02580|Vitvi05_01chr11g06110|Vitvi05_01chr11g11790|Vitvi05_01chr17g15130|Vitvi05_01chr13g07550|Vitvi05_01chr01g21230|Vitvi05_01chr05g03470|Vitvi05_01chr17g16960|Vitvi05_01chr12g21620|Vitvi05_01chr07g09720|Vitvi05_01chr11g04410|Vitvi05_01chr18g07360|Vitvi05_01chr12g03290|Vitvi05_01chr05g14520
GO_BP:regulation_of_translation,GO:0006417,0.000276625172890733,0.0274657534246575,-0.540627118544518,-1.79542836723356,1,109,Vitvi05_01chr00g00010|Vitvi05_01chr00g00170|Vitvi05_01chr00g01860|Vitvi05_01chr01g04170|Vitvi05_01chr00g03070|Vitvi05_01chr15g12230
GO_BP:regulation_of_translational_fidelity,GO:0006450,0.000342465753424658,0.0274657534246575,-0.825914041131251,-1.92906807552967,1,15,Vitvi05_01chr00g00010|Vitvi05_01chr00g00170|Vitvi05_01chr00g01860|Vitvi05_01chr01g04170|Vitvi05_01chr00g03070
GO_BP:endoplasmic_reticulum_to_Golgi_vesicle-mediated_transport,GO:0006888,0.000284819139846198,0.0274657534246575,0.607432015412083,1.94592283961534,0,45,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr14g24240|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340|Vitvi05_01chr04g05180
GO_BP:vesicle_coating,GO:0006901,0.000241779497098646,0.0274657534246575,0.794880391481452,2.07759171334052,0,18,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340
GO_BP:vesicle_targeting,GO:0006903,0.000251319426991706,0.0274657534246575,0.780377523429268,2.13384077819438,0,22,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr06g06030|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340
GO_BP:apoptotic_process,GO:0006915,0.000297796307325789,0.0274657534246575,0.581234099277031,1.90014645596869,0,51,Vitvi05_01chr07g19440|Vitvi05_01chr10g16870|Vitvi05_01chr07g01360|Vitvi05_01chr14g08220|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr10g16820|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr08g05300|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors,GO:0008625,0.000241604252234839,0.0274657534246575,0.791833599725879,1.99926029694356,0,16,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:positive_regulation_of_catabolic_process,GO:0009896,0.00032605151613955,0.0274657534246575,0.50015577481157,1.78330898413506,0,81,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr00g08220|Vitvi05_01chr15g18240|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr04g05350|Vitvi05_01chr08g05300|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr14g16750|Vitvi05_01chr07g16810
GO_BP:regulation_of_autophagy,GO:0010506,0.000281928390188892,0.0274657534246575,0.617070249401127,1.96014045001604,0,43,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr15g18240|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr08g08000|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr08g05300|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr06g01740
GO_CC:small_ribosomal_subunit,GO:0015935,0.000148126203525404,0.0274657534246575,-0.649880053531919,-2.00270452590118,0,63,Vitvi05_01chr00g00010|Vitvi05_01chr00g00170|Vitvi05_01chr00g01860|Vitvi05_01chr01g04170|Vitvi05_01chr00g03070|Vitvi05_01chr15g12230|Vitvi05_01chr00g08610|Vitvi05_01chr15g07730|Vitvi05_01chr18g12280
GO_BP:vesicle_organization,GO:0016050,0.000321543408360129,0.0274657534246575,0.51292840399323,1.81376658450016,0,77,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr04g03200|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr10g07210|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr10g21580|Vitvi05_01chr05g04740|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340|Vitvi05_01chr03g13620|Vitvi05_01chr04g05180
GO_MF:rRNA_binding,GO:0019843,0.000149387511204063,0.0274657534246575,-0.680291980705768,-2.07540532168727,0,59,Vitvi05_01chr00g00010|Vitvi05_01chr00g00170|Vitvi05_01chr00g01860|Vitvi05_01chr01g04170|Vitvi05_01chr06g22930|Vitvi05_01chr00g03070|Vitvi05_01chr15g12230
GO_BP:positive_regulation_of_cellular_catabolic_process,GO:0031331,0.000321543408360129,0.0274657534246575,0.523231200218166,1.8501983113732,0,77,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr00g08220|Vitvi05_01chr15g18240|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr04g05350|Vitvi05_01chr08g05300|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr14g16750|Vitvi05_01chr07g16810
GO_BP:positive_regulation_of_amide_metabolic_process,GO:0034250,0.000158982511923688,0.0274657534246575,-0.778614216264502,-2.18474149278448,0,36,Vitvi05_01chr00g00010|Vitvi05_01chr00g00170|Vitvi05_01chr00g01860|Vitvi05_01chr01g04170|Vitvi05_01chr00g03070
GO_BP:response_to_type_II_interferon,GO:0034341,0.000251698968034231,0.0274657534246575,0.780493412170794,2.15826610196871,0,23,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr14g08220|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:positive_regulation_of_translation,GO:0045727,0.000158982511923688,0.0274657534246575,-0.778614216264502,-2.18474149278448,0,36,Vitvi05_01chr00g00010|Vitvi05_01chr00g00170|Vitvi05_01chr00g01860|Vitvi05_01chr01g04170|Vitvi05_01chr00g03070
GO_BP:positive_regulation_of_proteolysis,GO:0045862,0.00030229746070133,0.0274657534246575,0.544939385628704,1.83788417273619,0,59,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr14g08220|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr00g08220|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr04g05350|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
"GO_BP:vesicle_targeting,_to,_from_or_within_Golgi",GO:0048199,0.000244319569997557,0.0274657534246575,0.789897558248654,2.08870732420703,0,19,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340
"GO_BP:vesicle_targeting,_rough_ER_to_cis-Golgi",GO:0048207,0.000241779497098646,0.0274657534246575,0.794880391481452,2.07759171334052,0,18,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340
GO_BP:COPII_vesicle_coating,GO:0048208,0.000241779497098646,0.0274657534246575,0.794880391481452,2.07759171334052,0,18,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340
GO_BP:cellular_response_to_type_II_interferon,GO:0071346,0.000250878073256397,0.0274657534246575,0.774550718962682,2.09179663692228,0,21,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:cellular_response_to_hydroperoxide,GO:0071447,0.000241604252234839,0.0274657534246575,0.791833599725879,1.99926029694356,0,16,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:COPII-coated_vesicle_budding,GO:0090114,0.000244319569997557,0.0274657534246575,0.787772553356953,2.08308822431879,0,19,Vitvi05_01chr07g19440|Vitvi05_01chr15g09280|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340|Vitvi05_01chr18g04340
GO_BP:extrinsic_apoptotic_signaling_pathway,GO:0097191,0.000241604252234839,0.0274657534246575,0.791833599725879,1.99926029694356,0,16,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors,GO:1902041,0.000241604252234839,0.0274657534246575,0.791833599725879,1.99926029694356,0,16,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:negative_regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors,GO:1902042,0.000241604252234839,0.0274657534246575,0.791833599725879,1.99926029694356,0,16,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
GO_BP:negative_regulation_of_apoptotic_signaling_pathway,GO:2001234,0.000241779497098646,0.0274657534246575,0.775787030348643,2.02768708706661,0,18,Vitvi05_01chr07g19440|Vitvi05_01chr07g01360|Vitvi05_01chr07g01570|Vitvi05_01chr13g16590|Vitvi05_01chr11g12290|Vitvi05_01chr07g01520|Vitvi05_01chr07g01490|Vitvi05_01chr04g15580|Vitvi05_01chr07g01370|Vitvi05_01chr09g11630|Vitvi05_01chr07g01340
